"Nebraska Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,33.14027445099999,34.246063242,33.011091303,36.504724682999985,36.56416138200001,39.362207653,39.80405056,40.678092199000005,42.90577420499999,41.421880200000004,42.874145583,44.856271253,44.180697646,45.30703797700001,44.923580358,45.083611836,45.890667085,46.340145361999994,47.953150736000005,48.14253943600001,48.98899099,51.888488493000004,49.99384392699999,53.033786603,51.805148839,50.208856122,48.198407463,47.181366231999995,51.538673015,49.69405589,45.999724368
Methane,14.297409002,14.580080693000001,14.556783766,14.621829767,15.031434715000001,14.979332223999998,14.968523267,15.103045176999998,15.236194320999997,15.013858002,14.938767713,14.788628541,14.451922617,14.299644934000002,13.920897999000001,14.209678334999996,14.551633797,15.00262046,14.666891413000002,14.463873267,14.795993537000001,14.531699704,14.830882567,14.799929835,14.568385185,15.074931356,15.661177593,15.877031629000001,16.224305885,16.229344962,15.824354931000002
Nitrous oxide,16.4619197,18.303678142000003,18.923405423999995,21.211108032000002,19.281598511000002,18.002858287,19.418269219000006,19.439111549999996,19.440086203000003,19.140070534000003,16.283413145,20.268017783000005,19.235934025,18.719498094000002,20.544003849000003,20.67415747,20.462577921999998,22.488353718000006,20.550815758000006,20.288138495999995,20.501546337999997,22.113305175,17.714010743999996,21.302298104000002,21.663892467,22.057374747,20.959773903000006,20.881450399,21.646381090999995,21.971961302999997,20.278035291
Fluorinated gases,0.43132259479999996,0.41485649069999997,0.419606679,0.43709090500000003,0.4752136319999999,0.5675748010000001,0.6285813070000001,0.6880741269999999,0.7017554679999999,0.7641158259999999,0.79784851,0.834900981,0.843510998,0.861421643,0.874402507,0.8894439499999999,0.9098098790000001,0.947673857,0.9967691590000001,0.8906983869999999,1.1089777830000003,1.091467439,1.1449543483000002,1.029453523,1.001561847,1.0154270299999997,1.026442821,1.0213537810000002,1.025275447,1.049569556,1.068831348
Total,64.33092574779998,67.5446785677,66.910887172,72.77475338699999,71.35240824000002,72.911972965,74.81942435300002,75.90832305299999,78.283810197,76.339924562,74.894174951,80.747818558,78.712065286,79.18760264800001,80.262884713,80.856891591,81.81468868299999,84.778793397,84.16762706600001,83.785249586,85.395508648,89.62496081100001,83.68369158629999,90.16546806500001,89.038988338,88.35658925499999,85.84580178,84.96120204099999,90.434635438,88.944931711,83.170945938
