"Washington Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,67.62562181900003,66.75473837099997,73.90932411699997,71.588482781,76.74697993799998,73.97130236,78.10484850200001,73.547918322,80.11890144799999,82.79800309100001,81.935230109,77.33461043700002,71.28833022900001,73.064375078,74.27865167000002,75.88648577800002,73.292037468,77.178338668,75.626689071,72.79493034800001,69.87619817599997,64.291069741,62.857988907999996,69.52716559900001,68.173938427,68.95787320299999,69.65235534999998,71.63846289500002,71.926789527,77.07189600199997,64.41766550499999
Methane,7.77255215,7.765863246,8.016830873,7.90141067,8.277464377000001,8.251355014,8.022656517000001,7.9719790889999995,7.694270024,7.5089589,7.517219494000001,7.3612471049999995,7.367348775,7.291784312,7.45116335,7.061823298,7.0047514789999985,7.026907207000001,6.919507703000001,6.967467947,6.142696157999999,5.965123629000001,5.849483600000001,6.012027133999998,5.925444455999999,6.294074439,6.390969507,6.522033067,6.7151602950000004,6.992739989,6.857186887
Nitrous oxide,6.736559615000001,5.976707435999999,6.553665218999999,7.349522783,7.019617068,6.629298716999999,6.6386165680000015,6.8209393899999995,6.671147540999999,6.527129672,6.395461523000001,6.8706258590000004,6.578497048000001,6.78498248,6.628736199,6.716680985,6.273304858000001,6.399749215,6.006190623000001,6.71487385,6.415820946000002,5.989101590999999,6.114405307,6.046511742000001,6.760881221999998,5.550638437000002,6.042214875000001,5.997411642999999,6.043609787,6.203687318999999,5.906162784000001
Fluorinated gases,8.325649498499999,7.255288673,7.017095072,6.7143709330000005,6.295695139999999,6.427753678999999,6.9624843929999995,6.40749526,5.560186804999999,5.460053812000002,5.506733053000001,3.143670033000001,3.2803316590000002,2.8499320410000006,2.3805090819999997,2.502028369000001,2.444909435,2.933473721,2.7525801469999998,2.0587779349999997,3.350519442,3.259127363,3.215369561,3.5235040499999997,4.03936977,4.0096828250000005,4.095027934999999,3.9424522360000003,4.02853134,4.046783874,3.9112315829999997
Total,90.46038308250003,87.75259772599996,95.49691528099997,93.553787167,98.33975652299998,95.27970977,99.72860598000001,94.748332061,100.04450581799999,102.29414547500001,101.354644179,94.71015343400003,88.51450771100001,89.991073911,90.73906030100002,92.16701843000001,89.01500324,93.538468811,91.30496754400001,88.53605008000001,85.78523472199997,79.504422324,78.037247376,85.10920852500001,84.89963387499998,84.81226890399999,86.18056766699998,88.100359841,88.714090949,94.31510718399997,81.09224675899999
