"Alaska Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,32.10261370399999,32.920361103999994,34.27325019900001,34.92705159300001,34.45712840999999,39.04336754100001,40.567741870000006,39.384163833,40.540334191999996,40.918525745,41.541622231999995,41.527617799999994,41.43383580500001,41.24298105300001,43.69637295,45.403119597,43.05582282299999,41.49901632200001,37.587770344999996,36.550230774999996,35.567037762000005,34.672814293,34.237915054000005,32.49636144,32.823136076000004,32.643592028,31.047910135,31.431052831000002,31.372001769,31.375407371999998,33.405159491999996
Methane,4.603221001999999,4.725110918,4.61274124,4.350830692,4.432220777,4.56377115,4.426051229,4.073877199,3.6561575619999997,3.285469358,3.021937259,2.924693438,3.07362217,3.0767417079999997,2.9064600362000004,2.7547956523999995,2.4465463978,2.3010936940999995,2.1326040075,2.0253076528,2.3186425352,2.3429712239000002,2.3098555636,2.4099931431,2.31225916724,2.2575291947999996,2.3157184972200002,2.4248048325000005,1.7698360967900002,1.7627279852500002,1.73847386175
Nitrous oxide,0.22754424,0.23195201799999998,0.227060043,0.22770683000000003,0.24430665799999998,0.248048674,0.25513728199999997,0.261847625,0.27811429899999995,0.271129493,0.275599737,0.273545329,0.27643120600000004,0.28206245700000004,0.293504698,0.28957293,0.303197022,0.2738779,0.248776992,0.231580574,0.250437336,0.243086356,0.236654558,0.22443643100000002,0.21766025500000002,0.21524348100000001,0.21029667600000004,0.20746984899999998,0.20957907800000003,0.209284225,0.203495298
Fluorinated gases,0.11360638029999999,0.10943082790000001,0.111168775,0.11755876699999998,0.130993884,0.161641963,0.18222465199999996,0.201786829,0.20867906,0.22799841299999998,0.238630303,0.251071852,0.256399208,0.263304753,0.270034754,0.27657295899999995,0.285824034,0.29902684099999993,0.315943668,0.340782502,0.3606835689999999,0.369503456,0.3697199627999999,0.3733730058,0.381030312,0.386851054,0.39166041599999996,0.389122731,0.3887492739999999,0.396444462,0.40359756999999996
Total,37.04698532629999,37.98685486789999,39.22422025700001,39.62314788200001,39.264649728999984,44.016829328000014,45.43115503300001,43.921675486000005,44.683285113,44.703123008999995,45.07778953099999,44.976928419,45.040288389000004,44.86508997100001,47.1663724382,48.724061138399996,46.09139027679999,44.37301475710001,40.2850950125,39.1479015038,38.496801202200004,37.6283753289,37.154145138400004,35.5041640199,35.73408581024,35.5032157578,33.96558572422,34.4524502435,33.74016621779,33.743864044249996,35.75072622175
