"Colorado Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon dioxide,66.783347212,68.542744366,69.846349086,73.35471621300002,74.064300231,74.38658705599997,77.491911009,78.142145172,80.79342379799999,83.18292680199997,88.22721670299998,96.19559536899999,94.78058235100002,93.138338364,96.241745245,98.770857198,99.723955176,101.918514711,100.41298257700001,95.23441518800001,98.29021745699998,95.56144978200001,93.826264502,94.922186423,95.95988798699999,94.77694477,91.74150964200001,92.21777218500002,93.29587945799999,95.17685159099997,83.634977659
Methane,21.056099259,21.277970030000002,22.161324639,20.685264881000002,22.076259283,21.144393765,20.584452999000003,22.027085306,21.618338591999997,22.082037489,21.916325703000002,22.519108426000003,22.78245423,23.068932761,22.508587665,24.691156878,25.129026740999997,26.450684016000004,26.641673386999994,25.710098103,26.372871786000005,24.806076272,23.140269271,21.049327492000003,20.664089795000002,20.189177534,19.981897241000002,20.394139139999993,20.40269334,20.394927978999995,19.640912583000002
Nitrous oxide,10.093366692000002,9.839088554,11.10588357,11.019945326,10.083986254,10.683933420000002,10.774797496000003,11.164713218000003,11.472358526,10.690378259000001,9.766067134,10.076151416999998,9.619194391,10.721039402,10.656507772000003,10.648506,10.767261928,11.629013701000002,10.168056077999998,10.321158275,10.173068187,9.630379970000002,10.017297267000004,11.329297566000001,11.277084810999998,10.847666180000004,10.693082101,10.681782472999998,10.844026769000001,11.076846997999999,10.317137551
Fluorinated gases,0.5696831671,0.5506946110000001,0.558470132,0.598238296,0.6675518600000001,0.83332038,0.952550511,1.0673640070000001,1.13447245,1.255335713,1.314743299,1.3798131520000003,1.428679211,1.481204541,1.5193716920000002,1.5790771410000004,1.6686325989999997,1.7879946700000002,1.932900949,2.0179172330000004,1.8425409390000003,1.3931118389999997,2.5524790069999996,2.3263101240000004,2.775583384,2.828229762,2.850266862,2.841309496,2.858459475000001,2.7808564369999997,2.727480532
Total,98.5024963301,100.210497561,103.672027427,105.65816471600002,106.892097628,107.04823462099998,109.80371201500002,112.401307703,115.018593366,117.21067826299996,121.22435283899998,130.170668364,128.61091018300002,128.40951506800002,130.926212374,135.689597217,137.288876444,141.78620709799998,139.155612991,133.283588799,136.678698369,131.391017863,129.536310047,129.627121605,130.676645977,128.642018246,125.26675584600001,126.135003294,127.40105904199999,129.42948300499995,116.320508325
