item,locode,population,populationYear
http://www.wikidata.org/entity/Q34377,ITLRE,3459,2018
http://www.wikidata.org/entity/Q34377,ITLRE,3461,2017
http://www.wikidata.org/entity/Q34354,ITCSD,4847,2017
http://www.wikidata.org/entity/Q34354,ITCSD,4847,2018
http://www.wikidata.org/entity/Q34443,ITCPD,2652,2018
http://www.wikidata.org/entity/Q34443,ITCPD,2669,2017
http://www.wikidata.org/entity/Q34540,ITPDE,1293,2018
http://www.wikidata.org/entity/Q34540,ITPDE,1303,2017
http://www.wikidata.org/entity/Q34449,ITGTT,4591,2018
http://www.wikidata.org/entity/Q34449,ITGTT,4646,2017
http://www.wikidata.org/entity/Q34373,ITLRG,7583,2017
http://www.wikidata.org/entity/Q34373,ITLRG,7603,2020
http://www.wikidata.org/entity/Q34373,ITLRG,7708,2018
http://www.wikidata.org/entity/Q34330,ITNOP,11383,2017
http://www.wikidata.org/entity/Q34330,ITNOP,11423,2018
http://www.wikidata.org/entity/Q34385,ITCLV,10224,2018
http://www.wikidata.org/entity/Q34385,ITCLV,10272,2017
http://www.wikidata.org/entity/Q34791,ITAYM,2065,2018
http://www.wikidata.org/entity/Q34791,ITAYM,2086,2017
http://www.wikidata.org/entity/Q34972,ITOGE,1370,2018
http://www.wikidata.org/entity/Q34972,ITOGE,1396,2017
http://www.wikidata.org/entity/Q34607,ITEST,16364,2018
http://www.wikidata.org/entity/Q34607,ITEST,16461,2017
http://www.wikidata.org/entity/Q35226,ITGEX,2091,2017
http://www.wikidata.org/entity/Q35226,ITGEX,2123,2018
http://www.wikidata.org/entity/Q35418,ITRRP,3191,2017
http://www.wikidata.org/entity/Q35418,ITRRP,3213,2018
http://www.wikidata.org/entity/Q39025,ITBOC,2710,2018
http://www.wikidata.org/entity/Q39025,ITBOC,2652,2017
http://www.wikidata.org/entity/Q39426,ITJCO,5140,2018
http://www.wikidata.org/entity/Q39354,ITDBO,3255,2018
http://www.wikidata.org/entity/Q39354,ITDBO,3261,2017
http://www.wikidata.org/entity/Q39036,ITAAC,13757,2008
http://www.wikidata.org/entity/Q39036,ITAAC,14789,2015
http://www.wikidata.org/entity/Q39036,ITAAC,14855,2017
http://www.wikidata.org/entity/Q39036,ITAAC,14896,2018
http://www.wikidata.org/entity/Q39426,ITJCO,5155,2017
http://www.wikidata.org/entity/Q39627,ITCUI,1650,2018
http://www.wikidata.org/entity/Q39627,ITCUI,1655,2017
http://www.wikidata.org/entity/Q39557,ITLDO,6377,2018
http://www.wikidata.org/entity/Q39557,ITLDO,6379,2017
http://www.wikidata.org/entity/Q39817,ITIGG,1317,2018
http://www.wikidata.org/entity/Q39817,ITIGG,1336,2017
http://www.wikidata.org/entity/Q39822,ITB8D,1613,2017
http://www.wikidata.org/entity/Q39822,ITB8D,1616,2018
http://www.wikidata.org/entity/Q39857,ITRE5,413,2018
http://www.wikidata.org/entity/Q39857,ITRE5,417,2017
http://www.wikidata.org/entity/Q39835,ITBA4,1303,2017
http://www.wikidata.org/entity/Q39835,ITBA4,1326,2018
http://www.wikidata.org/entity/Q39902,ITMBI,1072,2018
http://www.wikidata.org/entity/Q39902,ITMBI,1099,2017
http://www.wikidata.org/entity/Q39919,ITBGJ,6750,2017
http://www.wikidata.org/entity/Q39933,ITAEZ,1842,2018
http://www.wikidata.org/entity/Q39933,ITAEZ,1848,2017
http://www.wikidata.org/entity/Q39914,ITCHU,2552,2018
http://www.wikidata.org/entity/Q39914,ITCHU,2553,2017
http://www.wikidata.org/entity/Q39919,ITBGJ,6631,2013
http://www.wikidata.org/entity/Q39919,ITBGJ,6747,2018
http://www.wikidata.org/entity/Q40145,ITDCD,2430,2017
http://www.wikidata.org/entity/Q40145,ITDCD,2392,2018
http://www.wikidata.org/entity/Q40533,ITRCL,4370,2015
http://www.wikidata.org/entity/Q40375,ITORG,7705,2017
http://www.wikidata.org/entity/Q40375,ITORG,7827,2018
http://www.wikidata.org/entity/Q40533,ITRCL,4568,2017
http://www.wikidata.org/entity/Q40533,ITRCL,4701,2018
http://www.wikidata.org/entity/Q40633,ITLBI,2172,2013
http://www.wikidata.org/entity/Q40633,ITLBI,6319,2017
http://www.wikidata.org/entity/Q34600,JPUKY,1204084,1955
http://www.wikidata.org/entity/Q34600,JPUKY,1284818,1960
http://www.wikidata.org/entity/Q34600,JPUKY,1365007,1965
http://www.wikidata.org/entity/Q34600,JPUKY,1419165,1970
http://www.wikidata.org/entity/Q34600,JPUKY,1448964,2022
http://www.wikidata.org/entity/Q34600,JPUKY,1461059,1975
http://www.wikidata.org/entity/Q34600,JPUKY,1461103,1990
http://www.wikidata.org/entity/Q34600,JPUKY,1463723,2020
http://www.wikidata.org/entity/Q34600,JPUKY,1463822,1995
http://www.wikidata.org/entity/Q34600,JPUKY,1467785,2000
http://www.wikidata.org/entity/Q34600,JPUKY,1473065,1980
http://www.wikidata.org/entity/Q34600,JPUKY,1474015,2010
http://www.wikidata.org/entity/Q34600,JPUKY,1474811,2005
http://www.wikidata.org/entity/Q34600,JPUKY,1475183,2015
http://www.wikidata.org/entity/Q34600,JPUKY,1479218,1985
http://www.wikidata.org/entity/Q28271,USANP,33195,1990
http://www.wikidata.org/entity/Q28271,USANP,35838,2000
http://www.wikidata.org/entity/Q28271,USANP,38394,2010
http://www.wikidata.org/entity/Q28271,USANP,39418,2016
http://www.wikidata.org/entity/Q28271,USANP,40812,2020
http://www.wikidata.org/entity/Q34647,ZAJNB,4434827,2011
http://www.wikidata.org/entity/Q34451,ITSIB,6290,2017
http://www.wikidata.org/entity/Q34496,ITTOM,8390,2018
http://www.wikidata.org/entity/Q34600,JPUKY,100000,800
http://www.wikidata.org/entity/Q34600,JPUKY,100000,1400
http://www.wikidata.org/entity/Q34600,JPUKY,120000,900
http://www.wikidata.org/entity/Q34600,JPUKY,120000,1150
http://www.wikidata.org/entity/Q34600,JPUKY,130000,850
http://www.wikidata.org/entity/Q34600,JPUKY,160000,1490
http://www.wikidata.org/entity/Q34600,JPUKY,180000,1100
http://www.wikidata.org/entity/Q34600,JPUKY,250000,1571
http://www.wikidata.org/entity/Q34600,JPUKY,290000,1850
http://www.wikidata.org/entity/Q34600,JPUKY,370000,1750
http://www.wikidata.org/entity/Q34600,JPUKY,430000,1650
http://www.wikidata.org/entity/Q34451,ITSIB,6346,2018
http://www.wikidata.org/entity/Q34666,ITVCV,1810,2018
http://www.wikidata.org/entity/Q34570,ITTSA,4102,2018
http://www.wikidata.org/entity/Q34570,ITTSA,4159,2017
http://www.wikidata.org/entity/Q34666,ITVCV,1825,2017
http://www.wikidata.org/entity/Q34455,ITTLL,9014,2018
http://www.wikidata.org/entity/Q34455,ITTLL,9044,2017
http://www.wikidata.org/entity/Q34496,ITTOM,8381,2017
http://www.wikidata.org/entity/Q34703,ITTOG,6119,2018
http://www.wikidata.org/entity/Q34703,ITTOG,6166,2017
http://www.wikidata.org/entity/Q34600,JPUKY,999660,1947
http://www.wikidata.org/entity/Q39143,ITVTC,579,2018
http://www.wikidata.org/entity/Q39143,ITVTC,584,2017
http://www.wikidata.org/entity/Q39321,ITVA8,2294,2018
http://www.wikidata.org/entity/Q39321,ITVA8,2321,2017
http://www.wikidata.org/entity/Q39688,ITVNA,770,2017
http://www.wikidata.org/entity/Q39688,ITVNA,770,2018
http://www.wikidata.org/entity/Q40468,ITTHA,4820,2018
http://www.wikidata.org/entity/Q40303,ITVGT,8711,2018
http://www.wikidata.org/entity/Q40303,ITVGT,8745,2017
http://www.wikidata.org/entity/Q40468,ITTHA,4847,2017
http://www.wikidata.org/entity/Q40668,ITZXN,1369,2018
http://www.wikidata.org/entity/Q40668,ITZXN,1405,2017
http://www.wikidata.org/entity/Q40897,ITZVY,9270,2013
http://www.wikidata.org/entity/Q40897,ITZVY,9229,2018
http://www.wikidata.org/entity/Q40897,ITZVY,9264,2017
http://www.wikidata.org/entity/Q40862,ITSRN,39351,2017
http://www.wikidata.org/entity/Q40862,ITSRN,39419,2018
http://www.wikidata.org/entity/Q40813,ITSGO,44212,2013
http://www.wikidata.org/entity/Q40813,ITSGO,44962,2017
http://www.wikidata.org/entity/Q40813,ITSGO,45131,2018
http://www.wikidata.org/entity/Q34600,JPUKY,237674,1871
http://www.wikidata.org/entity/Q42318,ITTPR,914,2017
http://www.wikidata.org/entity/Q42318,ITTPR,918,2018
http://www.wikidata.org/entity/Q42472,ITZSX,1365,2018
http://www.wikidata.org/entity/Q42472,ITZSX,1374,2017
http://www.wikidata.org/entity/Q42472,ITZSX,1402,2013
http://www.wikidata.org/entity/Q42116,KRADG,162180,2018
http://www.wikidata.org/entity/Q42336,ITVDN,19978,2017
http://www.wikidata.org/entity/Q42336,ITVDN,20044,2018
http://www.wikidata.org/entity/Q42825,ITVZH,5366,2017
http://www.wikidata.org/entity/Q42825,ITVZH,5385,2013
http://www.wikidata.org/entity/Q42825,ITVZH,5389,2018
http://www.wikidata.org/entity/Q34600,JPUKY,279165,1889
http://www.wikidata.org/entity/Q42902,ITSGE,35122,2016
http://www.wikidata.org/entity/Q42902,ITSGE,35234,2017
http://www.wikidata.org/entity/Q42902,ITSGE,35492,2018
http://www.wikidata.org/entity/Q42116,KRADG,166272,2017
http://www.wikidata.org/entity/Q42116,KRADG,168798,2016
http://www.wikidata.org/entity/Q42116,KRADG,169221,2015
http://www.wikidata.org/entity/Q42125,KRYOS,273761,2015
http://www.wikidata.org/entity/Q34600,JPUKY,591323,1920
http://www.wikidata.org/entity/Q34600,JPUKY,679963,1925
http://www.wikidata.org/entity/Q46200,ITBVA,2623,2018
http://www.wikidata.org/entity/Q46200,ITBVA,2654,2017
http://www.wikidata.org/entity/Q46290,ITCSB,799,2018
http://www.wikidata.org/entity/Q46290,ITCSB,805,2018
http://www.wikidata.org/entity/Q46304,ITFOZ,693,2018
http://www.wikidata.org/entity/Q46304,ITFOZ,701,2017
http://www.wikidata.org/entity/Q46282,ITAZZ,11804,2017
http://www.wikidata.org/entity/Q46282,ITAZZ,11847,2018
http://www.wikidata.org/entity/Q34600,JPUKY,765142,1930
http://www.wikidata.org/entity/Q34647,ZAJNB,1009035,2001
http://www.wikidata.org/entity/Q34600,JPUKY,1080593,1935
http://www.wikidata.org/entity/Q34600,JPUKY,1089726,1940
http://www.wikidata.org/entity/Q34600,JPUKY,1101854,1950
http://www.wikidata.org/entity/Q3750,DEGEA,94152,2019
http://www.wikidata.org/entity/Q3750,DEGEA,94492,2014
http://www.wikidata.org/entity/Q3750,DEGEA,94859,2017
http://www.wikidata.org/entity/Q3750,DEGEA,96011,2015
http://www.wikidata.org/entity/Q3750,DEGEA,99262,2010
http://www.wikidata.org/entity/Q3750,DEGEA,111535,1971
http://www.wikidata.org/entity/Q3750,DEGEA,112835,2000
http://www.wikidata.org/entity/Q3750,DEGEA,126792,1981
http://www.wikidata.org/entity/Q3750,DEGEA,129037,1990
http://www.wikidata.org/entity/Q6596,ITGZA,34411,2018
http://www.wikidata.org/entity/Q6596,ITGZA,36615,2004
http://www.wikidata.org/entity/Q6259,ITPAV,72612,2017
http://www.wikidata.org/entity/Q6259,ITPAV,72689,2016
http://www.wikidata.org/entity/Q6259,ITPAV,72773,2018
http://www.wikidata.org/entity/Q9101,ITBZD,1336,2008
http://www.wikidata.org/entity/Q9101,ITBZD,1525,2017
http://www.wikidata.org/entity/Q9101,ITBZD,1526,2019
http://www.wikidata.org/entity/Q9101,ITBZD,1533,2018
http://www.wikidata.org/entity/Q9173,ITCM2,766,2018
http://www.wikidata.org/entity/Q9173,ITCM2,771,2019
http://www.wikidata.org/entity/Q9173,ITCM2,795,2017
http://www.wikidata.org/entity/Q9148,ITZHL,5612,2018
http://www.wikidata.org/entity/Q9148,ITZHL,5633,2017
http://www.wikidata.org/entity/Q9148,ITZHL,5644,2019
http://www.wikidata.org/entity/Q9275,ITCIV,26730,2020
http://www.wikidata.org/entity/Q6716,ITGRS,82036,2018
http://www.wikidata.org/entity/Q9336,ITZHQ,8790,2018
http://www.wikidata.org/entity/Q6716,ITGRS,82263,2016
http://www.wikidata.org/entity/Q9057,ITBTR,11889,2018
http://www.wikidata.org/entity/Q9057,ITBTR,11931,2019
http://www.wikidata.org/entity/Q9336,ITZHQ,4521,2019
http://www.wikidata.org/entity/Q9057,ITBTR,13538,2017
http://www.wikidata.org/entity/Q9343,ITVRF,5171,2017
http://www.wikidata.org/entity/Q9343,ITVRF,5186,2018
http://www.wikidata.org/entity/Q9336,ITZHQ,8695,2017
http://www.wikidata.org/entity/Q9474,ITMON,57530,2017
http://www.wikidata.org/entity/Q9275,ITCIV,26921,2017
http://www.wikidata.org/entity/Q9275,ITCIV,26976,2018
http://www.wikidata.org/entity/Q10243,ITRQT,4920,2017
http://www.wikidata.org/entity/Q10243,ITRQT,4960,2018
http://www.wikidata.org/entity/Q10268,ITGCV,2570,2018
http://www.wikidata.org/entity/Q10237,ITRMC,2657,2020
http://www.wikidata.org/entity/Q10237,ITRMC,2717,2017
http://www.wikidata.org/entity/Q10268,ITGCV,2627,2017
http://www.wikidata.org/entity/Q10358,ITVBS,3460,2018
http://www.wikidata.org/entity/Q10358,ITVBS,3455,2019
http://www.wikidata.org/entity/Q10358,ITVBS,3511,2017
http://www.wikidata.org/entity/Q10275,ITSMV,10312,2018
http://www.wikidata.org/entity/Q10275,ITSMV,10313,2017
http://www.wikidata.org/entity/Q10901,ITNNZ,2192,2018
http://www.wikidata.org/entity/Q10901,ITNNZ,2217,2017
http://www.wikidata.org/entity/Q10830,ITTRK,5037,2018
http://www.wikidata.org/entity/Q10830,ITTRK,5049,2017
http://www.wikidata.org/entity/Q9474,ITMON,57234,2018
http://www.wikidata.org/entity/Q9474,ITMON,57387,2016
http://www.wikidata.org/entity/Q10903,DEFIT,16372,1975
http://www.wikidata.org/entity/Q10903,DEFIT,17141,2017
http://www.wikidata.org/entity/Q10903,DEFIT,17173,2019
http://www.wikidata.org/entity/Q10903,DEFIT,17258,2015
http://www.wikidata.org/entity/Q8611,ITSPE,93311,2018
http://www.wikidata.org/entity/Q8611,ITSPE,93515,2016
http://www.wikidata.org/entity/Q8611,ITSPE,93678,2017
http://www.wikidata.org/entity/Q15174,CNSZX,17494398,2020
http://www.wikidata.org/entity/Q13652,ITQOS,31670,2017
http://www.wikidata.org/entity/Q13135,ITMCA,41776,2018
http://www.wikidata.org/entity/Q13135,ITMCA,42209,2017
http://www.wikidata.org/entity/Q13135,ITMCA,42361,2004
http://www.wikidata.org/entity/Q13135,ITMCA,42473,2015
http://www.wikidata.org/entity/Q13652,ITQOS,31671,2018
http://www.wikidata.org/entity/Q13625,ITVVA,33642,2018
http://www.wikidata.org/entity/Q13625,ITVVA,33763,2017
http://www.wikidata.org/entity/Q13142,ITFAO,60848,2016
http://www.wikidata.org/entity/Q13142,ITFAO,60978,2018
http://www.wikidata.org/entity/Q13616,ITMTR,60351,2017
http://www.wikidata.org/entity/Q13616,ITMTR,60384,2016
http://www.wikidata.org/entity/Q13616,ITMTR,60403,2018
http://www.wikidata.org/entity/Q13680,ITCTS,60157,2008
http://www.wikidata.org/entity/Q13680,ITCTS,62317,2018
http://www.wikidata.org/entity/Q13680,ITCTS,63054,2016
http://www.wikidata.org/entity/Q13376,ITPIS,90192,2013
http://www.wikidata.org/entity/Q13376,ITPIS,90195,2018
http://www.wikidata.org/entity/Q13376,ITPIS,90205,2017
http://www.wikidata.org/entity/Q13376,ITPIS,90363,2016
http://www.wikidata.org/entity/Q13329,ITPCZ,102181,2016
http://www.wikidata.org/entity/Q13329,ITPCZ,102355,2017
http://www.wikidata.org/entity/Q13329,ITPCZ,103082,2018
http://www.wikidata.org/entity/Q15174,CNSZX,11380000,2015
http://www.wikidata.org/entity/Q16008,DESDT,29433,2020
http://www.wikidata.org/entity/Q16934,ITDAA,8480,2018
http://www.wikidata.org/entity/Q16935,ITMR4,883,2018
http://www.wikidata.org/entity/Q16008,DESDT,34035,2010
http://www.wikidata.org/entity/Q16934,ITDAA,8564,2017
http://www.wikidata.org/entity/Q16008,DESDT,42261,2000
http://www.wikidata.org/entity/Q17308,ITC9N,967,2017
http://www.wikidata.org/entity/Q17308,ITC9N,977,2018
http://www.wikidata.org/entity/Q17347,ITCIL,455,2017
http://www.wikidata.org/entity/Q17330,ITCSF,1524,2017
http://www.wikidata.org/entity/Q17330,ITCSF,1526,2018
http://www.wikidata.org/entity/Q16008,DESDT,53628,1990
http://www.wikidata.org/entity/Q15174,CNSZX,10628900,2013
http://www.wikidata.org/entity/Q81699,ITSIO,9883,2018
http://www.wikidata.org/entity/Q81699,ITSIO,9959,2017
http://www.wikidata.org/entity/Q83128,ITMOH,10150,2017
http://www.wikidata.org/entity/Q83113,ITMFN,3458,2018
http://www.wikidata.org/entity/Q83113,ITMFN,3506,2017
http://www.wikidata.org/entity/Q82822,ITSCP,17168,2013
http://www.wikidata.org/entity/Q82822,ITSCP,17171,2018
http://www.wikidata.org/entity/Q83128,ITMOH,10056,2018
http://www.wikidata.org/entity/Q83358,ITPTP,15827,2018
http://www.wikidata.org/entity/Q83358,ITPTP,15836,2017
http://www.wikidata.org/entity/Q82842,ITSCC,50527,2016
http://www.wikidata.org/entity/Q82842,ITSCC,50645,2018
http://www.wikidata.org/entity/Q91228,ITMIG,9870,2017
http://www.wikidata.org/entity/Q91360,ITRIC,1581,2018
http://www.wikidata.org/entity/Q91360,ITRIC,1587,2017
http://www.wikidata.org/entity/Q91228,ITMIG,9937,2018
http://www.wikidata.org/entity/Q91395,ITRLT,5256,2017
http://www.wikidata.org/entity/Q91395,ITRLT,5305,2018
http://www.wikidata.org/entity/Q91447,ITSA2,4705,2018
http://www.wikidata.org/entity/Q91447,ITSA2,4723,2017
http://www.wikidata.org/entity/Q91464,ITSNL,12573,2018
http://www.wikidata.org/entity/Q91464,ITSNL,12637,2017
http://www.wikidata.org/entity/Q91350,ITPGG,29031,2018
http://www.wikidata.org/entity/Q91350,ITPGG,29063,2017
http://www.wikidata.org/entity/Q94929,ITLIB,2191,2018
http://www.wikidata.org/entity/Q94929,ITLIB,2203,2017
http://www.wikidata.org/entity/Q95124,ITMI2,2214,2013
http://www.wikidata.org/entity/Q95124,ITMI2,2228,2011
http://www.wikidata.org/entity/Q95124,ITMI2,2301,2001
http://www.wikidata.org/entity/Q94981,ITPDC,7013,2017
http://www.wikidata.org/entity/Q94981,ITPDC,7068,2018
http://www.wikidata.org/entity/Q94996,ITSBN,7255,2017
http://www.wikidata.org/entity/Q94996,ITSBN,7344,2018
http://www.wikidata.org/entity/Q95139,ITZUA,6842,2017
http://www.wikidata.org/entity/Q94997,ITSSM,14792,2017
http://www.wikidata.org/entity/Q94997,ITSSM,14903,2018
http://www.wikidata.org/entity/Q94978,ITTOL,19409,2018
http://www.wikidata.org/entity/Q94978,ITTOL,19831,2017
http://www.wikidata.org/entity/Q99955,ITSFA,4120,2018
http://www.wikidata.org/entity/Q99958,ITSRU,3230,2018
http://www.wikidata.org/entity/Q100013,ITBBI,4150,2011
http://www.wikidata.org/entity/Q99958,ITSRU,3251,2017
http://www.wikidata.org/entity/Q99956,ITSAK,3412,2018
http://www.wikidata.org/entity/Q100048,ITIUL,8440,2018
http://www.wikidata.org/entity/Q99955,ITSFA,4117,2017
http://www.wikidata.org/entity/Q100084,ITPVO,17400,2017
http://www.wikidata.org/entity/Q100044,ITASR,14930,2017
http://www.wikidata.org/entity/Q100040,ITECM,3192,2018
http://www.wikidata.org/entity/Q100013,ITBBI,4109,2013
http://www.wikidata.org/entity/Q100013,ITBBI,4274,2001
http://www.wikidata.org/entity/Q100145,ITCVG,16230,2017
