item,locode,population,populationYear
http://www.wikidata.org/entity/Q952,ITRGO,9110,2018
http://www.wikidata.org/entity/Q952,ITRGO,9192,2017
http://www.wikidata.org/entity/Q1297,USCHI,350,1833
http://www.wikidata.org/entity/Q1297,USCHI,2716000,2017
http://www.wikidata.org/entity/Q2119,DEMHG,800,1572
http://www.wikidata.org/entity/Q2119,DEMHG,570,1450
http://www.wikidata.org/entity/Q2119,DEMHG,24190,1766
http://www.wikidata.org/entity/Q2119,DEMHG,307900,2005
http://www.wikidata.org/entity/Q2119,DEMHG,25093,1774
http://www.wikidata.org/entity/Q2119,DEMHG,25353,1777
http://www.wikidata.org/entity/Q2119,DEMHG,296690,2013
http://www.wikidata.org/entity/Q2119,DEMHG,305780,2015
http://www.wikidata.org/entity/Q2119,DEMHG,307730,1999
http://www.wikidata.org/entity/Q2119,DEMHG,309370,2018
http://www.wikidata.org/entity/Q2119,DEMHG,309370,2019
http://www.wikidata.org/entity/Q2119,DEMHG,313890,1961
http://www.wikidata.org/entity/Q2119,DEMHG,330920,1969
http://www.wikidata.org/entity/Q3592,ITZLC,98,2017
http://www.wikidata.org/entity/Q3592,ITZLC,102,2018
http://www.wikidata.org/entity/Q2751,ITSNA,53772,2017
http://www.wikidata.org/entity/Q2751,ITSNA,53853,2016
http://www.wikidata.org/entity/Q2751,ITSNA,53901,2018
http://www.wikidata.org/entity/Q3543,ITQPO,67211,2018
http://www.wikidata.org/entity/Q3543,ITQPO,67221,2016
http://www.wikidata.org/entity/Q2683,ITPMF,194152,2016
http://www.wikidata.org/entity/Q2683,ITPMF,194417,2017
http://www.wikidata.org/entity/Q2683,ITPMF,195687,2018
http://www.wikidata.org/entity/Q2119,DEMHG,291458,2011
http://www.wikidata.org/entity/Q2119,DEMHG,294627,2012
http://www.wikidata.org/entity/Q2119,DEMHG,294648,1986
http://www.wikidata.org/entity/Q2119,DEMHG,294984,1985
http://www.wikidata.org/entity/Q2119,DEMHG,295178,1984
http://www.wikidata.org/entity/Q2119,DEMHG,295191,1987
http://www.wikidata.org/entity/Q2119,DEMHG,298042,1983
http://www.wikidata.org/entity/Q2119,DEMHG,299844,2014
http://www.wikidata.org/entity/Q2119,DEMHG,300468,1988
http://www.wikidata.org/entity/Q2119,DEMHG,302621,1982
http://www.wikidata.org/entity/Q2119,DEMHG,302794,1978
http://www.wikidata.org/entity/Q2119,DEMHG,303247,1979
http://www.wikidata.org/entity/Q2119,DEMHG,304219,1981
http://www.wikidata.org/entity/Q2119,DEMHG,304303,1980
http://www.wikidata.org/entity/Q2119,DEMHG,304781,2016
http://www.wikidata.org/entity/Q2119,DEMHG,305741,1977
http://www.wikidata.org/entity/Q2119,DEMHG,305974,1989
http://www.wikidata.org/entity/Q2119,DEMHG,306729,2000
http://www.wikidata.org/entity/Q2119,DEMHG,307499,2004
http://www.wikidata.org/entity/Q2119,DEMHG,307914,2006
http://www.wikidata.org/entity/Q2119,DEMHG,307997,2017
http://www.wikidata.org/entity/Q2119,DEMHG,308353,2003
http://www.wikidata.org/entity/Q2119,DEMHG,308385,2001
http://www.wikidata.org/entity/Q2119,DEMHG,308759,2002
http://www.wikidata.org/entity/Q2119,DEMHG,308903,1998
http://www.wikidata.org/entity/Q2119,DEMHG,309059,1976
http://www.wikidata.org/entity/Q2119,DEMHG,309721,2021
http://www.wikidata.org/entity/Q2119,DEMHG,309795,2007
http://www.wikidata.org/entity/Q2119,DEMHG,310411,1990
http://www.wikidata.org/entity/Q2119,DEMHG,310475,1997
http://www.wikidata.org/entity/Q2119,DEMHG,311292,1995
http://www.wikidata.org/entity/Q2119,DEMHG,311342,2008
http://www.wikidata.org/entity/Q2119,DEMHG,311969,2009
http://www.wikidata.org/entity/Q2119,DEMHG,312216,1996
http://www.wikidata.org/entity/Q2119,DEMHG,313174,2010
http://www.wikidata.org/entity/Q2119,DEMHG,314086,1975
http://www.wikidata.org/entity/Q2119,DEMHG,314685,1991
http://www.wikidata.org/entity/Q2119,DEMHG,316223,1994
http://www.wikidata.org/entity/Q2119,DEMHG,316265,2016
http://www.wikidata.org/entity/Q2119,DEMHG,318025,1993
http://www.wikidata.org/entity/Q2119,DEMHG,318446,1992
http://www.wikidata.org/entity/Q2119,DEMHG,318919,1962
http://www.wikidata.org/entity/Q2119,DEMHG,320508,1974
http://www.wikidata.org/entity/Q2119,DEMHG,321075,1963
http://www.wikidata.org/entity/Q2119,DEMHG,323444,1964
http://www.wikidata.org/entity/Q2119,DEMHG,323744,1967
http://www.wikidata.org/entity/Q2119,DEMHG,325386,1973
http://www.wikidata.org/entity/Q2119,DEMHG,326302,1968
http://www.wikidata.org/entity/Q2119,DEMHG,328156,1965
http://www.wikidata.org/entity/Q2119,DEMHG,328411,1972
http://www.wikidata.org/entity/Q2119,DEMHG,329301,1966
http://www.wikidata.org/entity/Q2119,DEMHG,330635,1971
http://www.wikidata.org/entity/Q2119,DEMHG,332163,1970
http://www.wikidata.org/entity/Q597,PTLIS,505526,2017
http://www.wikidata.org/entity/Q597,PTLIS,506654,2018
http://www.wikidata.org/entity/Q597,PTLIS,506892,2015
http://www.wikidata.org/entity/Q597,PTLIS,545245,2011
http://www.wikidata.org/entity/Q597,PTLIS,545923,2021
http://www.wikidata.org/entity/Q597,PTLIS,547733,2011
http://www.wikidata.org/entity/Q585,NOOSL,623966,2013
http://www.wikidata.org/entity/Q585,NOOSL,634463,2014
http://www.wikidata.org/entity/Q585,NOOSL,673469,2018
http://www.wikidata.org/entity/Q585,NOOSL,681071,2019
http://www.wikidata.org/entity/Q585,NOOSL,693494,2020
http://www.wikidata.org/entity/Q2096,CAEDM,616306,1996
http://www.wikidata.org/entity/Q2096,CAEDM,666104,2001
http://www.wikidata.org/entity/Q2096,CAEDM,730372,2006
http://www.wikidata.org/entity/Q2096,CAEDM,812201,2011
http://www.wikidata.org/entity/Q2096,CAEDM,932546,2016
http://www.wikidata.org/entity/Q2096,CAEDM,1010899,2021
http://www.wikidata.org/entity/Q1297,USCHI,2695598,2010
http://www.wikidata.org/entity/Q1297,USCHI,2722389,2014
http://www.wikidata.org/entity/Q1297,USCHI,2746388,2020
http://www.wikidata.org/entity/Q15732,JPAKN,19009,2021
http://www.wikidata.org/entity/Q15732,JPAKN,21198,2015
http://www.wikidata.org/entity/Q15732,JPAKN,23154,2010
http://www.wikidata.org/entity/Q17670,ITSZD,1243,2018
http://www.wikidata.org/entity/Q17670,ITSZD,1247,2017
http://www.wikidata.org/entity/Q17785,ITZHM,3195,2018
http://www.wikidata.org/entity/Q17785,ITZHM,3235,2017
http://www.wikidata.org/entity/Q18801,ITTVS,4224,2018
http://www.wikidata.org/entity/Q18801,ITTVS,4273,2017
http://www.wikidata.org/entity/Q20132,ITZNR,3330,2018
http://www.wikidata.org/entity/Q20132,ITZNR,3248,2017
http://www.wikidata.org/entity/Q20254,ITVGX,375,2018
http://www.wikidata.org/entity/Q20254,ITVGX,376,2017
http://www.wikidata.org/entity/Q20268,ITZMD,977,2017
http://www.wikidata.org/entity/Q20268,ITZMD,983,2018
http://www.wikidata.org/entity/Q20519,ITTR5,320,2017
http://www.wikidata.org/entity/Q20519,ITTR5,317,2018
http://www.wikidata.org/entity/Q20517,ITTRF,799,2018
http://www.wikidata.org/entity/Q20517,ITTRF,821,2017
http://www.wikidata.org/entity/Q20685,ITUBT,16530,2018
http://www.wikidata.org/entity/Q20623,ITTYB,3769,2018
http://www.wikidata.org/entity/Q20623,ITTYB,3796,2017
http://www.wikidata.org/entity/Q20685,ITUBT,16607,2017
http://www.wikidata.org/entity/Q22648,ITVUO,1847,2017
http://www.wikidata.org/entity/Q22648,ITVUO,1857,2018
http://www.wikidata.org/entity/Q23269,ITTYO,14649,2018
http://www.wikidata.org/entity/Q23269,ITTYO,14715,2017
http://www.wikidata.org/entity/Q25210,ITZTC,4948,2018
http://www.wikidata.org/entity/Q25210,ITZTC,4958,2017
http://www.wikidata.org/entity/Q29393,ITAAD,4550,2018
http://www.wikidata.org/entity/Q29393,ITAAD,4504,2017
http://www.wikidata.org/entity/Q29357,ITAIV,6919,2017
http://www.wikidata.org/entity/Q29357,ITAIV,6959,2018
