tag_id,tag_name
geo,geographical data
contextual,contextual data
population,population of an Area
un,United Nations
undata,United Nations data
cc0,Creative Commons CC0 license
extract,Dataset extracted from a larger database
oef,Dataset from Open Earth Foundation
evanp,Dataset by Evan Prodromou
city,city data
