target_id,actor_id,target_type,baseline_year,target_year,target_value,target_unit,summary,datasource_id,initiative_id
SBTi:2138004WCNBFJEEOXV26:2029,2138004WCNBFJEEOXV26,Absolute emission reduction,2018,2029,13,percent,Croda International Plc reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:2138004YK324Z5OMBR25:2025,2138004YK324Z5OMBR25,Absolute emission reduction,2010,2025,45,percent,Muntons reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:2138006R85VEOF5YNK29:2025,2138006R85VEOF5YNK29,Absolute emission reduction,2018,2025,29,percent,BARRATT DEVELOPMENTS PLC reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:2138008339ULDGZRB345:2025,2138008339ULDGZRB345,Absolute emission reduction,2016,2025,11,percent,Morgan Sindall Group plc reported progress for at least one SBT. Information for other SBT(s) could not be publicly found or could not be represented.,SBTi:target_progress:2021-07-31,SBTi
SBTi:2138008ANDWS1PN19B62:2030,2138008ANDWS1PN19B62,Absolute emission reduction,2019,2030,70,percent,Linklaters LLP reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:2138008ANDWS1PN19B62:2030,2138008ANDWS1PN19B62,Absolute emission reduction,2019,2030,50,percent,Linklaters LLP reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:2138008K14474WPKZ244:2030,2138008K14474WPKZ244,Absolute emission reduction,2019,2030,30,percent,Tate & Lyle PLC reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:2138008K14474WPKZ244:2030,2138008K14474WPKZ244,Absolute emission reduction,2019,2030,15,percent,Tate & Lyle PLC reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:2138009OQSSLVVHQAL78:2030,2138009OQSSLVVHQAL78,Absolute emission reduction,2019,2030,50,percent,The Berkeley Group Holdings plc reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800EC6PW5VU4J9U64:2030,213800EC6PW5VU4J9U64,Absolute emission reduction,2015,2030,65,percent,UPM-Kymmene Corporation reported progress for at least one SBT. Information for other SBT(s) could not be publicly found or could not be represented.,SBTi:target_progress:2021-07-31,SBTi
