tag_id,tag_name
GHGs_included_CO2_and_CH4,GHGs included: CO2 and CH4
production_consumption_emissions_energy_processing_and_flaring,"Production and consumption emissions from energy, process emissions, and flaring"
primary_source,Primary source: emissions derived from activity data
