tag_id,tag_name
geo,geographical data
contextual,contextual data
identifier,identifier mapping
wikidata,data extracted from Wikidata
cc0,Creative Commons CC0 license
extract,Dataset extracted from a larger database
oef,Dataset from Open Earth Foundation
locode,Related to UN/LOCODE
evanp,Dataset by Evan Prodromou
locodebot,Mapping from LocodeBot
