actor_id,area,datasource_id
US BOS,232,OEF:WD:city-area:20221106
BR SAO,1523,OEF:WD:city-area:20221106
IT ROM,1287,OEF:WD:city-area:20221106
BE BRU,33,OEF:WD:city-area:20221106
US NYC,1213,OEF:WD:city-area:20221106
US WAS,177,OEF:WD:city-area:20221106
DE BER,891,OEF:WD:city-area:20221106
CH BRN,52,OEF:WD:city-area:20221106
CH ZRH,88,OEF:WD:city-area:20221106
GB LON,1572,OEF:WD:city-area:20221106
EG CAI,528,OEF:WD:city-area:20221106
EG ALY,2679,OEF:WD:city-area:20221106
US AXR,40,OEF:WD:city-area:20221106
FR PAR,105,OEF:WD:city-area:20221106
IT BBI,21,OEF:WD:city-area:20221106
IT BGA,12,OEF:WD:city-area:20221106
IT BPT,5,OEF:WD:city-area:20221106
IT BTG,10,OEF:WD:city-area:20221106
IT BOM,39,OEF:WD:city-area:20221106
IT CGA,36,OEF:WD:city-area:20221106
IT ECM,23,OEF:WD:city-area:20221106
IT RPI,132,OEF:WD:city-area:20221106
IT CFE,103,OEF:WD:city-area:20221106
IT ASR,22,OEF:WD:city-area:20221106
IT COM,50,OEF:WD:city-area:20221106
IT EAZ,27,OEF:WD:city-area:20221106
IT IUL,41,OEF:WD:city-area:20221106
IT FNO,90,OEF:WD:city-area:20221106
IT FIE,105,OEF:WD:city-area:20221106
IT FMD,26,OEF:WD:city-area:20221106
IT FMB,39,OEF:WD:city-area:20221106
IT FMG,47,OEF:WD:city-area:20221106
IT FSN,95,OEF:WD:city-area:20221106
IT GUL,48,OEF:WD:city-area:20221106
IT MAR,33,OEF:WD:city-area:20221106
IT ZOG,45,OEF:WD:city-area:20221106
IT DLL,27,OEF:WD:city-area:20221106
IT MID,137,OEF:WD:city-area:20221106
IT MFO,45,OEF:WD:city-area:20221106
IT MS9,81,OEF:WD:city-area:20221106
IT NON,55,OEF:WD:city-area:20221106
IT ZAQ,52,OEF:WD:city-area:20221106
IT PVO,144,OEF:WD:city-area:20221106
IT OAG,54,OEF:WD:city-area:20221106
IT USS,80,OEF:WD:city-area:20221106
IT RAV,29,OEF:WD:city-area:20221106
IT SCS,27,OEF:WD:city-area:20221106
IT SFP,52,OEF:WD:city-area:20221106
IT SP5,17,OEF:WD:city-area:20221106
IT SPQ,35,OEF:WD:city-area:20221106
IT SSP,26,OEF:WD:city-area:20221106
IT ZUY,94,OEF:WD:city-area:20221106
IT OLR,51,OEF:WD:city-area:20221106
IT SPI,30,OEF:WD:city-area:20221106
IT VIN,23,OEF:WD:city-area:20221106
IT ZXQ,69,OEF:WD:city-area:20221106
IT CCT,15,OEF:WD:city-area:20221106
IT CLC,16,OEF:WD:city-area:20221106
IT CLD,8,OEF:WD:city-area:20221106
IT CVO,7,OEF:WD:city-area:20221106
IT KDA,3,OEF:WD:city-area:20221106
IT CPI,6,OEF:WD:city-area:20221106
IT ZAB,9,OEF:WD:city-area:20221106
IT CVG,33,OEF:WD:city-area:20221106
IT CBX,7,OEF:WD:city-area:20221106
IT ARV,5,OEF:WD:city-area:20221106
IT CZA,7,OEF:WD:city-area:20221106
IT CSA,10,OEF:WD:city-area:20221106
IT CGI,14,OEF:WD:city-area:20221106
IT CZE,2,OEF:WD:city-area:20221106
IT CSK,10,OEF:WD:city-area:20221106
IT NRE,8,OEF:WD:city-area:20221106
IT CZS,2,OEF:WD:city-area:20221106
IT SOT,5,OEF:WD:city-area:20221106
IT ENE,9,OEF:WD:city-area:20221106
IT ERT,14,OEF:WD:city-area:20221106
IT CHG,6,OEF:WD:city-area:20221106
IT CHD,7,OEF:WD:city-area:20221106
IT CBG,8,OEF:WD:city-area:20221106
IT CQQ,5,OEF:WD:city-area:20221106
IT CLY,10,OEF:WD:city-area:20221106
IT CUE,26,OEF:WD:city-area:20221106
IT CGS,19,OEF:WD:city-area:20221106
IT CZT,7,OEF:WD:city-area:20221106
IT CMU,6,OEF:WD:city-area:20221106
IT OUA,7,OEF:WD:city-area:20221106
IT ZGT,19,OEF:WD:city-area:20221106
IT CMZ,5,OEF:WD:city-area:20221106
IT CWO,13,OEF:WD:city-area:20221106
IT CUR,5,OEF:WD:city-area:20221106
CA FSK,48,OEF:WD:city-area:20221106
IT ABO,104,OEF:WD:city-area:20221106
IT BDI,190,OEF:WD:city-area:20221106
IT BNI,170,OEF:WD:city-area:20221106
IT BVO,151,OEF:WD:city-area:20221106
IT BST,77,OEF:WD:city-area:20221106
IT CCH,59,OEF:WD:city-area:20221106
IT CRH,48,OEF:WD:city-area:20221106
IT CRN,166,OEF:WD:city-area:20221106
IT PPR,38,OEF:WD:city-area:20221106
IT FDZ,95,OEF:WD:city-area:20221106
IT ZBQ,54,OEF:WD:city-area:20221106
IT FVO,26,OEF:WD:city-area:20221106
IT ZIT,58,OEF:WD:city-area:20221106
IT GHO,71,OEF:WD:city-area:20221106
IT LGB,47,OEF:WD:city-area:20221106
IT MDZ,89,OEF:WD:city-area:20221106
IT HRG,48,OEF:WD:city-area:20221106
IT NCO,79,OEF:WD:city-area:20221106
IT PLZ,70,OEF:WD:city-area:20221106
IT RCN,40,OEF:WD:city-area:20221106
IT SBR,31,OEF:WD:city-area:20221106
IT 9GG,82,OEF:WD:city-area:20221106
IT SRS,38,OEF:WD:city-area:20221106
IT SIS,44,OEF:WD:city-area:20221106
IT SLG,73,OEF:WD:city-area:20221106
IT SOX,45,OEF:WD:city-area:20221106
IT SOR,39,OEF:WD:city-area:20221106
US YPD,137,OEF:WD:city-area:20221106
IT TIL,37,OEF:WD:city-area:20221106
IT ZVQ,55,OEF:WD:city-area:20221106
IT TCI,29,OEF:WD:city-area:20221106
IT ZXO,24,OEF:WD:city-area:20221106
IT DME,12,OEF:WD:city-area:20221106
IT END,21,OEF:WD:city-area:20221106
IT ETR,4,OEF:WD:city-area:20221106
IT FGD,11,OEF:WD:city-area:20221106
IT FCS,5,OEF:WD:city-area:20221106
IT FIL,5,OEF:WD:city-area:20221106
IT FIR,1,OEF:WD:city-area:20221106
IT FOQ,18,OEF:WD:city-area:20221106
IT ZJA,7,OEF:WD:city-area:20221106
IT DGD,25,OEF:WD:city-area:20221106
IT GND,29,OEF:WD:city-area:20221106
IT GDS,3,OEF:WD:city-area:20221106
IT GVR,5,OEF:WD:city-area:20221106
IT GZI,14,OEF:WD:city-area:20221106
IT GSB,11,OEF:WD:city-area:20221106
IT IOR,6,OEF:WD:city-area:20221106
IT GOE,3,OEF:WD:city-area:20221106
IT GRA,9,OEF:WD:city-area:20221106
IT GRO,8,OEF:WD:city-area:20221106
IT GMD,10,OEF:WD:city-area:20221106
AT KDT,3,OEF:WD:city-area:20221106
SE SL2,2,OEF:WD:city-area:20221106
IT LLO,2,OEF:WD:city-area:20221106
IT LFF,7,OEF:WD:city-area:20221106
IT LNZ,13,OEF:WD:city-area:20221106
IT LEE,6,OEF:WD:city-area:20221106
IT LVR,8,OEF:WD:city-area:20221106
IT LUA,4,OEF:WD:city-area:20221106
IT Z7G,3,OEF:WD:city-area:20221106
IT ADO,3,OEF:WD:city-area:20221106
IT MPL,9,OEF:WD:city-area:20221106
IT EGO,22,OEF:WD:city-area:20221106
IT DLO,4,OEF:WD:city-area:20221106
IT ZNF,6,OEF:WD:city-area:20221106
IT OTL,2,OEF:WD:city-area:20221106
IT MSR,7,OEF:WD:city-area:20221106
IT MOZ,9,OEF:WD:city-area:20221106
IT MZP,4,OEF:WD:city-area:20221106
IT NEM,15,OEF:WD:city-area:20221106
IT OLM,8,OEF:WD:city-area:20221106
IT OOR,12,OEF:WD:city-area:20221106
IT OAS,3,OEF:WD:city-area:20221106
IT ORF,5,OEF:WD:city-area:20221106
IT OSS,8,OEF:WD:city-area:20221106
CA SPG,32,OEF:WD:city-area:20221106
IT ZZN,5,OEF:WD:city-area:20221106
IT PAD,2,OEF:WD:city-area:20221106
US CTK,8,OEF:WD:city-area:20221106
IT AZG,14,OEF:WD:city-area:20221106
IT PLC,11,OEF:WD:city-area:20221106
IT ZQU,22,OEF:WD:city-area:20221106
US SWS,17,OEF:WD:city-area:20221106
IT PBO,4,OEF:WD:city-area:20221106
IT PEQ,4,OEF:WD:city-area:20221106
IT PZB,7,OEF:WD:city-area:20221106
IT PXC,3,OEF:WD:city-area:20221106
IT PNS,6,OEF:WD:city-area:20221106
GR PAL,5,OEF:WD:city-area:20221106
GR MDR,19,OEF:WD:city-area:20221106
