actor_id,name,language,preferred,datasource_id
8I5DZWZKVSZI1NUHU748,JPMORGAN CHASE & CO.,en,1,GLEIF_golden_copy
HWUPKR0MPOU8FGXBT394,APPLE INC.,en,1,GLEIF_golden_copy
9DJT3UXIJIZJI4WXO774,BANK OF AMERICA CORPORATION,en,1,GLEIF_golden_copy
549300MXYHQ7ZLRMHA29,"AMAZON TECHNOLOGIES, INC.",en,1,GLEIF_golden_copy
5493006MHB84DD0ZWV18,ALPHABET INC.,en,1,GLEIF_golden_copy
INR2EJN1ERAN0W5ZP974,MICROSOFT CORPORATION,en,1,GLEIF_golden_copy
6SHGI4ZSSLCXXQSBB395,CITIGROUP INC.,en,1,GLEIF_golden_copy
Y87794H0US1R65VBXU25,WALMART INC.,en,1,GLEIF_golden_copy
54930004W6Z9H2LPE588,WELLS FARGO & COMPANY,en,1,GLEIF_golden_copy
549300GHBMY8T5GXDE41,UNITEDHEALTH GROUP INCORPORATED,en,1,GLEIF_golden_copy
51M0QTTNCGUN7KFCFZ59,COMCAST CORPORATION,en,1,GLEIF_golden_copy
784F5XWPLTWKTBV3E584,"THE GOLDMAN SACHS GROUP, INC.",en,1,GLEIF_golden_copy
549300BACZP326UOBH06,"FACEBOOK OPERATIONS, LLC",en,1,GLEIF_golden_copy
KNX4USFCNGPY45LOCE31,INTEL CORPORATION,en,1,GLEIF_golden_copy
549300EJG376EN5NQE29,CVS HEALTH CORPORATION,en,1,GLEIF_golden_copy
3C7474T6CDKPR9K6YT90,GENERAL ELECTRIC COMPANY,en,1,GLEIF_golden_copy
54930070NSV60J38I987,GENERAL MOTORS COMPANY,en,1,GLEIF_golden_copy
549300LU2LK48YNURC51,IBM Global Financing,en,1,GLEIF_golden_copy
549300JKLDKK88YJNK84,MetLife Foundation,en,1,GLEIF_golden_copy
549300FEMQDH6Q0NT330,"HOME DEPOT U.S.A., INC.",en,1,GLEIF_golden_copy
FJSUNZKFNQ5YPJ5OT455,"PepsiCo, Inc.",en,1,GLEIF_golden_copy
1Z4GXXU7ZHVWFCD8TV52,ORACLE CORPORATION,en,1,GLEIF_golden_copy
549300QN7I3K57E52Y66,AbbVie Foundation,en,1,GLEIF_golden_copy
549300LKFJ962MZ46593,"CISCO SYSTEMS, INC.",en,1,GLEIF_golden_copy
25490051M2RUUJKJIZ28,"Fleetscape Anthem, LLC",en,1,GLEIF_golden_copy
549300UI22ZOTUUWGQ21,AMERICAN EXPRESS LIMITED,en,1,GLEIF_golden_copy
33580051H1YGY6G27694,COCA COLA INDIA INC,en,1,GLEIF_golden_copy
549300IONFNO3BOFLO73,Capital One Prop LLC,en,1,GLEIF_golden_copy
CFGNEKW0P8842LEUIA51,"THE PNC FINANCIAL SERVICES GROUP, INC.",en,1,GLEIF_golden_copy
549300E707U7WNPZN687,FEDEX CORPORATION,en,1,GLEIF_golden_copy
HQD377W2YR662HK5JX27,ABBOTT LABORATORIES,en,1,GLEIF_golden_copy
549300JZ4OKEHW3DPJ59,VISA INC.,en,1,GLEIF_golden_copy
549300CZ3L4QRJRDYK11,"Loral Lowe's Property, LLC",en,1,GLEIF_golden_copy
549300OZUEVJZHOBFP42,BLACKROCK FUNDS,en,1,GLEIF_golden_copy
WRJR7GS4GTRECRRTVX92,CATERPILLAR INC.,en,1,GLEIF_golden_copy
ISRPG12PN4EIEOEMW547,HONEYWELL INTERNATIONAL INC.,en,1,GLEIF_golden_copy
62QBXGPJ34PQ72Z12S66,AMGEN INC.,en,1,GLEIF_golden_copy
549300224L7MSXPY6481,Allstate Entities LLC,en,1,GLEIF_golden_copy
LBQ3CAGQB6M55WHL3G85,"PAYPAL, INC.",en,1,GLEIF_golden_copy
549300SP4NN84DX79E85,Danaher Corporation,en,1,GLEIF_golden_copy
5493008F4ZOQFNG3WN54,"NEXTERA ENERGY PARTNERS, LP",en,1,GLEIF_golden_copy
549300FC3G3YU2FBZD92,THE SOUTHERN COMPANY,en,1,GLEIF_golden_copy
HL3H1H2BGXWVG3BSWR90,Philip Morris International Inc.,en,1,GLEIF_golden_copy
549300LMMRSZZCZ8CL11,UNION PACIFIC CORPORATION,en,1,GLEIF_golden_copy
LUZQVYP4VS22CLWDAR65,3M COMPANY,en,1,GLEIF_golden_copy
549300NMVO8OGSH9WW39,EXELON FOUNDATION,en,1,GLEIF_golden_copy
549300VB1EUTLVEO8566,Eli Lilly International Corporation,en,1,GLEIF_golden_copy
HPFHU0OQ28E4N0NFVK49,The Bank of New York Mellon,en,1,GLEIF_golden_copy
5493000D4UVMBETS1506,TRAVELERS PERSONAL INSURANCE COMPANY,en,1,GLEIF_golden_copy
UE2136O97NLB5BYP9H04,MCDONALD'S CORPORATION,en,1,GLEIF_golden_copy
787RXPR0UX0O0XUXPZ81,"NIKE, INC.",en,1,GLEIF_golden_copy
H1J8DDZKZP6H7RWC0H53,QUALCOMM INCORPORATED,en,1,GLEIF_golden_copy
549300Z7JJ4TQSQGT333,CENTENE CORPORATION,en,1,GLEIF_golden_copy
B3DXGBC8GAIYWI2Z0172,"MICRON TECHNOLOGY, INC.",en,1,GLEIF_golden_copy
XSGZFLO9YTNO9VCQV219,"Altria Group, Inc.",en,1,GLEIF_golden_copy
