actor_id,target_year,percent_achieved,target_type,baseline_year,target_id,target_value,target_unit,datasource_id
AE DXB,2020,26,Relative emission reduction,2020,CDPCitiesTargets:2021:AE DXB:2020:2020,16,percent,CDPCitiesTargets:2021
AR BRC,2030,0,Relative emission reduction,2030,CDPCitiesTargets:2021:AR BRC:2030:2030,20,percent,CDPCitiesTargets:2021
AR BUE,2030,18,Absolute emission reduction,2015,CDPCitiesTargets:2021:AR BUE:2015:2030,53,percent,CDPCitiesTargets:2021
AR BUE,2050,12,Absolute emission reduction,2015,CDPCitiesTargets:2021:AR BUE:2015:2050,84,percent,CDPCitiesTargets:2021
AR CCO,2030,0,Relative emission reduction,2030,CDPCitiesTargets:2021:AR CCO:2030:2030,18,percent,CDPCitiesTargets:2021
AR CEO,2030,0,Relative emission reduction,2030,CDPCitiesTargets:2021:AR CEO:2030:2030,18,percent,CDPCitiesTargets:2021
AR CNQ,2030,0,Relative emission reduction,2030,CDPCitiesTargets:2021:AR CNQ:2030:2030,18,percent,CDPCitiesTargets:2021
AR CPC,2030,0,Relative emission reduction,2030,CDPCitiesTargets:2021:AR CPC:2030:2030,18,percent,CDPCitiesTargets:2021
AR GCR,2030,0,Relative emission reduction,2030,CDPCitiesTargets:2021:AR GCR:2030:2030,30,percent,CDPCitiesTargets:2021
AR MDZ,2030,0,Relative emission reduction,2030,CDPCitiesTargets:2021:AR MDZ:2030:2030,30,percent,CDPCitiesTargets:2021
AR MTC,2030,0,Relative emission reduction,2030,CDPCitiesTargets:2021:AR MTC:2030:2030,18,percent,CDPCitiesTargets:2021
AR RCQ,2030,0,Relative emission reduction,2030,CDPCitiesTargets:2021:AR RCQ:2030:2030,18,percent,CDPCitiesTargets:2021
AR RES,2030,0,Relative emission reduction,2030,CDPCitiesTargets:2021:AR RES:2030:2030,21,percent,CDPCitiesTargets:2021
AR ROS,2030,0,Relative emission reduction,2030,CDPCitiesTargets:2021:AR ROS:2030:2030,10,percent,CDPCitiesTargets:2021
AR ROS,2030,75,Relative emission reduction,2030,CDPCitiesTargets:2021:AR ROS:2030:2030,22,percent,CDPCitiesTargets:2021
