actor_id,identifier,namespace,datasource_id
CA:ECCC:G10058,CA:ECCC:G10058,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10059,CA:ECCC:G10059,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10060,CA:ECCC:G10060,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10061,CA:ECCC:G10061,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10062,CA:ECCC:G10062,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10063,CA:ECCC:G10063,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10064,CA:ECCC:G10064,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10065,CA:ECCC:G10065,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10066,CA:ECCC:G10066,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10067,CA:ECCC:G10067,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10068,CA:ECCC:G10068,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10069,CA:ECCC:G10069,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10070,CA:ECCC:G10070,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10071,CA:ECCC:G10071,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10072,CA:ECCC:G10072,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10073,CA:ECCC:G10073,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10074,CA:ECCC:G10074,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10075,CA:ECCC:G10075,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10076,CA:ECCC:G10076,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
CA:ECCC:G10077,CA:ECCC:G10077,ECCC GHGRP facility code,ECCC_GHGRP:2022-04-14
