actor_id,year,total_emissions,datasource_id,emissions_id
RU-AMU,2010,8835255,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AMU:2010
RU-AMU,2011,9342231,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AMU:2011
RU-AMU,2012,9896020,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AMU:2012
RU-AMU,2013,8784802,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AMU:2013
RU-AMU,2014,9500515,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AMU:2014
RU-AMU,2015,10116536,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AMU:2015
RU-AMU,2016,9323196,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AMU:2016
RU-AMU,2017,9875120,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AMU:2017
RU-AMU,2018,9318820,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AMU:2018
RU-AMU,2019,10387385,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AMU:2019
RU-ARK,2005,21395538,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2005
RU-ARK,2006,20421536,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2006
RU-ARK,2007,19890136,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2007
RU-ARK,2008,20845548,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2008
RU-ARK,2009,19696116,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2009
RU-ARK,2010,19145342,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2010
RU-ARK,2011,18593339,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2011
RU-ARK,2012,16986689,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2012
RU-ARK,2013,15496777,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2013
RU-ARK,2014,17117206,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2014
RU-ARK,2015,17286609,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2015
RU-ARK,2016,19994723,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2016
RU-ARK,2017,20216084,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2017
RU-ARK,2018,20530328,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2018
RU-ARK,2019,21809630,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-ARK:2019
RU-AST,2005,7256426,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AST:2005
RU-AST,2006,6613524,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AST:2006
RU-AST,2007,6713155,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AST:2007
RU-AST,2008,8457353,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AST:2008
RU-AST,2009,7378447,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AST:2009
RU-AST,2010,7619168,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AST:2010
RU-AST,2011,7884649,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AST:2011
RU-AST,2012,7963778,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AST:2012
RU-AST,2013,7032158,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AST:2013
RU-AST,2014,8021093,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AST:2014
RU-AST,2015,7546002,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AST:2015
RU-AST,2016,7455799,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AST:2016
RU-AST,2017,7259193,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AST:2017
RU-AST,2018,7118482,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AST:2018
RU-AST,2019,7762962,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-AST:2019
RU-BA,2005,38174749,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BA:2005
RU-BA,2006,36692078,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BA:2006
RU-BA,2007,37257970,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BA:2007
RU-BA,2008,36351558,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BA:2008
RU-BA,2009,32949359,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BA:2009
RU-BA,2010,37933135,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BA:2010
RU-BA,2011,38973314,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BA:2011
RU-BA,2012,35719592,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BA:2012
RU-BA,2013,37550596,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BA:2013
RU-BA,2014,37039150,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BA:2014
RU-BA,2015,36086155,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BA:2015
RU-BA,2016,47739879,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BA:2016
RU-BA,2017,47456674,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BA:2017
RU-BA,2018,53141200,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BA:2018
RU-BA,2019,51399005,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BA:2019
RU-BEL,2005,3826222,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BEL:2005
RU-BEL,2006,5095150,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BEL:2006
RU-BEL,2007,5106530,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BEL:2007
RU-BEL,2008,8464455,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BEL:2008
RU-BEL,2009,7357143,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BEL:2009
RU-BEL,2010,7685673,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BEL:2010
RU-BEL,2011,9046198,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BEL:2011
RU-BEL,2012,9451798,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BEL:2012
RU-BEL,2013,9265975,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BEL:2013
RU-BEL,2014,9069957,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BEL:2014
RU-BEL,2015,9721259,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BEL:2015
RU-BEL,2016,9603565,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BEL:2016
RU-BEL,2017,10100175,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BEL:2017
RU-BEL,2018,11787568,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BEL:2018
RU-BEL,2019,12660175,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BEL:2019
RU-BRY,2005,4415193,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BRY:2005
RU-BRY,2006,4310602,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BRY:2006
RU-BRY,2007,4259694,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BRY:2007
RU-BRY,2008,4510689,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BRY:2008
RU-BRY,2009,3957143,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BRY:2009
RU-BRY,2010,4497491,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BRY:2010
RU-BRY,2011,4830424,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BRY:2011
RU-BRY,2012,4583495,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BRY:2012
RU-BRY,2013,4277105,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BRY:2013
RU-BRY,2014,4216022,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BRY:2014
RU-BRY,2015,4025776,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BRY:2015
