"datasource_id","population","year","actor_id"
"CDPCitiesTargets:2021",41047,2021,"DK FRE"
"CDPCitiesTargets:2021",26861,2011,"CR QPS"
"CDPCitiesTargets:2021",143222,2020,"CH BRN"
"CDPCitiesTargets:2021",1330286,2021,"JP STM"
"CDPCitiesTargets:2021",1221095,2020,"KR SUO"
"CDPCitiesTargets:2021",347398,2020,"CR SJO"
"CDPCitiesTargets:2021",492681,2018,"FR URO"
"CDPCitiesTargets:2021",231962,2021,"PT OPO"
"CDPCitiesTargets:2021",392887,2020,"PT STA"
"CDPCitiesTargets:2021",492681,2018,"FR URO"
"CDPCitiesTargets:2021",65333,2017,"PE SDR"
"CDPCitiesTargets:2021",2514005,2020,"GH ACC"
"CDPCitiesTargets:2021",5685807,2020,"SG SIN"
"CDPCitiesTargets:2021",1153901,2020,"KR USN"
"CDPCitiesTargets:2021",305461,2018,"AR RES"
"CDPCitiesTargets:2021",2960048,2020,"PH QZT"
"CDPCitiesTargets:2021",118964,2021,"JP HDA"
"CDPCitiesTargets:2021",2602418,2020,"TW TPE"
"CDPCitiesTargets:2021",492681,2018,"FR URO"
"CDPCitiesTargets:2021",215000,2020,"NZ WLG"
"CDPCitiesTargets:2021",365437,2020,"IT FLR"
"CDPCitiesTargets:2021",365437,2020,"IT FLR"
"CDPCitiesTargets:2021",807254,2019,"HR ZAG"
"CDPCitiesTargets:2021",277773,2020,"CO SIJ"
"CDPCitiesTargets:2021",1653461,2020,"BR REC"
"CDPCitiesTargets:2021",6747815,2019,"BR RIO"
"CDPCitiesTargets:2021",94129,2019,"SE VXO"
"CDPCitiesTargets:2021",201386,2021,"CH BSL"
"CDPCitiesTargets:2021",583056,2020,"SE GOT"
"CDPCitiesTargets:2021",583056,2020,"SE GOT"
"CDPCitiesTargets:2021",5052000,2016,"CI ABJ"
"CDPCitiesTargets:2021",583056,2020,"SE GOT"
"CDPCitiesTargets:2021",583056,2020,"SE GOT"
"CDPCitiesTargets:2021",231962,2021,"PT OPO"
"CDPCitiesTargets:2021",1293611,2021,"HN TGU"
"CDPCitiesTargets:2021",20390,2018,"SE MRA"
"CDPCitiesTargets:2021",286178,2021,"KR CHC"
"CDPCitiesTargets:2021",286178,2021,"KR CHC"
"CDPCitiesTargets:2021",294464,2021,"SI LJU"
"CDPCitiesTargets:2021",946900,2019,"MX CUU"
"CDPCitiesTargets:2021",53282,2018,"DK HVV"
"CDPCitiesTargets:2021",20232,2020,"TH YNT"
"CDPCitiesTargets:2021",107699,2021,"CL IND"
"CDPCitiesTargets:2021",143222,2020,"CH BRN"
"CDPCitiesTargets:2021",434736,2020,"CH ZRH"
"CDPCitiesTargets:2021",2210875,2018,"FR PAR"
"CDPCitiesTargets:2021",348208,2020,"BR CAN"
"CDPCitiesTargets:2021",36655,2021,"SE VVK"
"CDPCitiesTargets:2021",872497,2021,"NL AMS"
"CDPCitiesTargets:2021",492681,2018,"FR URO"
"CDPCitiesTargets:2021",61015,2019,"PT FAO"
"CDPCitiesTargets:2021",28352,2008,"IT ASI"
"CDPCitiesTargets:2021",547757,2021,"NL HAG"
"CDPCitiesTargets:2021",61015,2019,"PT FAO"
"CDPCitiesTargets:2021",332500,2020,"GB WAN"
"CDPCitiesTargets:2021",583056,2020,"SE GOT"
"CDPCitiesTargets:2021",583056,2020,"SE GOT"
"CDPCitiesTargets:2021",1664182,2020,"ES BCN"
"CDPCitiesTargets:2021",5685807,2020,"SG SIN"
"CDPCitiesTargets:2021",11936010,2020,"CN HAZ"
"CDPCitiesTargets:2021",143222,2020,"CH BRN"
"CDPCitiesTargets:2021",49000,2018,"CR ORE"
"CDPCitiesTargets:2021",1005687,2016,"TR DNZ"
"CDPCitiesTargets:2021",41047,2021,"DK FRE"
"CDPCitiesTargets:2021",5652000,2016,"CD FBM"
