"identifier","actor_id","namespace","datasource_id"
31154,"CO BOG","CDP","CDPCitiesTargets:2021"
35898,"GB MNC","CDP","CDPCitiesTargets:2021"
36043,"NG ABV","CDP","CDPCitiesTargets:2021"
54498,"ES MJV","CDP","CDPCitiesTargets:2021"
73734,"CO ENV","CDP","CDPCitiesTargets:2021"
54328,"JP KIJ","CDP","CDPCitiesTargets:2021"
1499,"ES BCN","CDP","CDPCitiesTargets:2021"
834377,"JP TZK","CDP","CDPCitiesTargets:2021"
31169,"HK HKG","CDP","CDPCitiesTargets:2021"
54341,"JP TOY","CDP","CDPCitiesTargets:2021"
36493,"IT PSR","CDP","CDPCitiesTargets:2021"
54488,"NO TRD","CDP","CDPCitiesTargets:2021"
54519,"SE LUD","CDP","CDPCitiesTargets:2021"
54518,"SE HEL","CDP","CDPCitiesTargets:2021"
36158,"IT NAP","CDP","CDPCitiesTargets:2021"
54521,"GB BOH","CDP","CDPCitiesTargets:2021"
841980,"TR JKS","CDP","CDPCitiesTargets:2021"
54253,"AU WOL","CDP","CDPCitiesTargets:2021"
840371,"SE FKG","CDP","CDPCitiesTargets:2021"
859106,"JP KNZ","CDP","CDPCitiesTargets:2021"
60337,"BR QIA","CDP","CDPCitiesTargets:2021"
31187,"KR SEL","CDP","CDPCitiesTargets:2021"
32480,"AU ADL","CDP","CDPCitiesTargets:2021"
55180,"JP SHO","CDP","CDPCitiesTargets:2021"
36044,"TR SFH","CDP","CDPCitiesTargets:2021"
60216,"SE VXO","CDP","CDPCitiesTargets:2021"
58569,"ME TGD","CDP","CDPCitiesTargets:2021"
50378,"CR SJO","CDP","CDPCitiesTargets:2021"
63543,"DK FRE","CDP","CDPCitiesTargets:2021"
54336,"JP HMM","CDP","CDPCitiesTargets:2021"
36261,"IT BZO","CDP","CDPCitiesTargets:2021"
826201,"MX ZAP","CDP","CDPCitiesTargets:2021"
834324,"JP NQU","CDP","CDPCitiesTargets:2021"
69822,"SE KID","CDP","CDPCitiesTargets:2021"
13506,"GB NTG","CDP","CDPCitiesTargets:2021"
50220,"FR NCE","CDP","CDPCitiesTargets:2021"
845131,"BR DIS","CDP","CDPCitiesTargets:2021"
848476,"CR CAS","CDP","CDPCitiesTargets:2021"
35914,"IN HYD","CDP","CDPCitiesTargets:2021"
44180,"KR TAE","CDP","CDPCitiesTargets:2021"
50354,"HN TGU","CDP","CDPCitiesTargets:2021"
60433,"DK HVV","CDP","CDPCitiesTargets:2021"
31112,"TW KHH","CDP","CDPCitiesTargets:2021"
60588,"RO ALI","CDP","CDPCitiesTargets:2021"
61427,"MZ MNC","CDP","CDPCitiesTargets:2021"
46470,"ES VIT","CDP","CDPCitiesTargets:2021"
73762,"ID MLG","CDP","CDPCitiesTargets:2021"
31156,"BR CWB","CDP","CDPCitiesTargets:2021"
31165,"DE HEI","CDP","CDPCitiesTargets:2021"
834192,"JP KIY","CDP","CDPCitiesTargets:2021"
35897,"BR CPS","CDP","CDPCitiesTargets:2021"
31446,"TW TPE","CDP","CDPCitiesTargets:2021"
55165,"JP OQM","CDP","CDPCitiesTargets:2021"
73692,"AU MBA","CDP","CDPCitiesTargets:2021"
35912,"IN STV","CDP","CDPCitiesTargets:2021"
36285,"IT FLR","CDP","CDPCitiesTargets:2021"
54389,"TW TXG","CDP","CDPCitiesTargets:2021"
35893,"TZ DAR","CDP","CDPCitiesTargets:2021"
31111,"JP TYO","CDP","CDPCitiesTargets:2021"
862768,"SE VTA","CDP","CDPCitiesTargets:2021"
54537,"GB SUN","CDP","CDPCitiesTargets:2021"
59165,"DK GLX","CDP","CDPCitiesTargets:2021"
55325,"PT AGU","CDP","CDPCitiesTargets:2021"
35872,"BR REC","CDP","CDPCitiesTargets:2021"
54354,"PH MTI","CDP","CDPCitiesTargets:2021"
54510,"SE UME","CDP","CDPCitiesTargets:2021"
50678,"PT EVR","CDP","CDPCitiesTargets:2021"
19233,"PT TVE","CDP","CDPCitiesTargets:2021"
834190,"JP KUA","CDP","CDPCitiesTargets:2021"
73802,"AR CEO","CDP","CDPCitiesTargets:2021"
54700,"BR SME","CDP","CDPCitiesTargets:2021"
58595,"CR BLN","CDP","CDPCitiesTargets:2021"
840931,"BR CRS","CDP","CDPCitiesTargets:2021"
834155,"JP KWE","CDP","CDPCitiesTargets:2021"
31186,"KR CHW","CDP","CDPCitiesTargets:2021"
60392,"PE SDR","CDP","CDPCitiesTargets:2021"
55334,"PT BGZ","CDP","CDPCitiesTargets:2021"
31115,"ZA JNB","CDP","CDPCitiesTargets:2021"
43920,"SI LJU","CDP","CDPCitiesTargets:2021"
35867,"MX GDL","CDP","CDPCitiesTargets:2021"
54617,"CO PEI","CDP","CDPCitiesTargets:2021"
43926,"DE MHG","CDP","CDPCitiesTargets:2021"
50384,"BR FLN","CDP","CDPCitiesTargets:2021"
31148,"NL AMS","CDP","CDPCitiesTargets:2021"
57347,"TW PIF","CDP","CDPCitiesTargets:2021"
54459,"IS REY","CDP","CDPCitiesTargets:2021"
44077,"UG KLA","CDP","CDPCitiesTargets:2021"
36159,"PT LIS","CDP","CDPCitiesTargets:2021"
54520,"CH LAU","CDP","CDPCitiesTargets:2021"
35755,"TR URL","CDP","CDPCitiesTargets:2021"
60114,"PL GDY","CDP","CDPCitiesTargets:2021"
74670,"TR AYT","CDP","CDPCitiesTargets:2021"
2185,"GB BRS","CDP","CDPCitiesTargets:2021"
31153,"DE BER","CDP","CDPCitiesTargets:2021"
58671,"DK HLS","CDP","CDPCitiesTargets:2021"
31173,"IT MIL","CDP","CDPCitiesTargets:2021"
839970,"AR SJO","CDP","CDPCitiesTargets:2021"
36492,"IT PMF","CDP","CDPCitiesTargets:2021"
834301,"AR SAO","CDP","CDPCitiesTargets:2021"
54637,"EC CUE","CDP","CDPCitiesTargets:2021"
834299,"JP MUH","CDP","CDPCitiesTargets:2021"
31056,"GB EDI","CDP","CDPCitiesTargets:2021"
54364,"MY KUL","CDP","CDPCitiesTargets:2021"
43937,"NZ WLG","CDP","CDPCitiesTargets:2021"
74365,"JP UTO","CDP","CDPCitiesTargets:2021"
54430,"FR LEH","CDP","CDPCitiesTargets:2021"
36036,"NG IBA","CDP","CDPCitiesTargets:2021"
59151,"IS AKU","CDP","CDPCitiesTargets:2021"
54293,"CN GGZ","CDP","CDPCitiesTargets:2021"
54395,"TW TYN","CDP","CDPCitiesTargets:2021"
832002,"CR QPS","CDP","CDPCitiesTargets:2021"
54527,"CH BRN","CDP","CDPCitiesTargets:2021"
54338,"JP STM","CDP","CDPCitiesTargets:2021"
44185,"KR SUO","CDP","CDPCitiesTargets:2021"
62171,"FR URO","CDP","CDPCitiesTargets:2021"
46514,"PT OPO","CDP","CDPCitiesTargets:2021"
826396,"PT STA","CDP","CDPCitiesTargets:2021"
36039,"GH ACC","CDP","CDPCitiesTargets:2021"
35993,"SG SIN","CDP","CDPCitiesTargets:2021"
44184,"KR USN","CDP","CDPCitiesTargets:2021"
834278,"AR RES","CDP","CDPCitiesTargets:2021"
54348,"PH QZT","CDP","CDPCitiesTargets:2021"
859130,"JP HDA","CDP","CDPCitiesTargets:2021"
43921,"HR ZAG","CDP","CDPCitiesTargets:2021"
60387,"CO SIJ","CDP","CDPCitiesTargets:2021"
31176,"BR RIO","CDP","CDPCitiesTargets:2021"
31151,"CH BSL","CDP","CDPCitiesTargets:2021"
42384,"SE GOT","CDP","CDPCitiesTargets:2021"
36004,"CI ABJ","CDP","CDPCitiesTargets:2021"
859081,"JP S67","CDP","CDPCitiesTargets:2021"
859253,"SE MRA","CDP","CDPCitiesTargets:2021"
50713,"KR CHC","CDP","CDPCitiesTargets:2021"
50375,"MX CUU","CDP","CDPCitiesTargets:2021"
834400,"TH YNT","CDP","CDPCitiesTargets:2021"
59166,"CL IND","CDP","CDPCitiesTargets:2021"
35449,"CH ZRH","CDP","CDPCitiesTargets:2021"
31175,"FR PAR","CDP","CDPCitiesTargets:2021"
834339,"JP ODW","CDP","CDPCitiesTargets:2021"
55372,"BR CAN","CDP","CDPCitiesTargets:2021"
69824,"SE VVK","CDP","CDPCitiesTargets:2021"
50673,"PT FAO","CDP","CDPCitiesTargets:2021"
840132,"IT ASI","CDP","CDPCitiesTargets:2021"
