actor_id,emissions_id,year,total_emissions,datasource_id
AE DXB,CDPCitiesTargets:2021:AE DXB:2011,2011,46160000,CDPCitiesTargets:2021
AR BRC,CDPCitiesTargets:2021:AR BRC:2014,2014,900055,CDPCitiesTargets:2021
AR BUE,CDPCitiesTargets:2021:AR BUE:2015,2015,13008741,CDPCitiesTargets:2021
AR CCO,CDPCitiesTargets:2021:AR CCO:2018,2018,288775,CDPCitiesTargets:2021
AR CEO,CDPCitiesTargets:2021:AR CEO:2017,2017,54645,CDPCitiesTargets:2021
AR CNQ,CDPCitiesTargets:2021:AR CNQ:2018,2018,1122935,CDPCitiesTargets:2021
AR CPC,CDPCitiesTargets:2021:AR CPC:2018,2018,250690,CDPCitiesTargets:2021
AR GCR,CDPCitiesTargets:2021:AR GCR:2018,2018,491120,CDPCitiesTargets:2021
AR MDZ,CDPCitiesTargets:2021:AR MDZ:2018,2018,708779,CDPCitiesTargets:2021
AR MTC,CDPCitiesTargets:2021:AR MTC:2016,2016,47005,CDPCitiesTargets:2021
AR RCQ,CDPCitiesTargets:2021:AR RCQ:2016,2016,247659,CDPCitiesTargets:2021
AR RES,CDPCitiesTargets:2021:AR RES:2018,2018,923868,CDPCitiesTargets:2021
AR ROS,CDPCitiesTargets:2021:AR ROS:2016,2016,1727029,CDPCitiesTargets:2021
AR ROS,CDPCitiesTargets:2021:AR ROS:2016,2016,3438331,CDPCitiesTargets:2021
AR SAO,CDPCitiesTargets:2021:AR SAO:2018,2018,86709,CDPCitiesTargets:2021
AR SJO,CDPCitiesTargets:2021:AR SJO:2016,2016,104728,CDPCitiesTargets:2021
AR VNT,CDPCitiesTargets:2021:AR VNT:2016,2016,402556,CDPCitiesTargets:2021
AU ADL,CDPCitiesTargets:2021:AU ADL:2007,2007,1252913,CDPCitiesTargets:2021
AU SYD,CDPCitiesTargets:2021:AU SYD:2006,2006,5815521,CDPCitiesTargets:2021
BD DAC,CDPCitiesTargets:2021:BD DAC:2018,2018,17,CDPCitiesTargets:2021
BE CRL,CDPCitiesTargets:2021:BE CRL:2006,2006,1288027,CDPCitiesTargets:2021
BG SOF,CDPCitiesTargets:2021:BG SOF:2007,2007,5672432,CDPCitiesTargets:2021
BR BHZ,CDPCitiesTargets:2021:BR BHZ:2030,2030,5800000,CDPCitiesTargets:2021
BR CPS,CDPCitiesTargets:2021:BR CPS:2016,2016,2663901,CDPCitiesTargets:2021
BR CWB,CDPCitiesTargets:2021:BR CWB:2016,2016,3505046,CDPCitiesTargets:2021
BR FOR,CDPCitiesTargets:2021:BR FOR:2014,2014,5139514,CDPCitiesTargets:2021
BR RIO,CDPCitiesTargets:2021:BR RIO:2017,2017,11342945,CDPCitiesTargets:2021
BR SME,CDPCitiesTargets:2021:BR SME:2016,2016,1065572,CDPCitiesTargets:2021
BR SME,CDPCitiesTargets:2021:BR SME:2016,2016,4673758,CDPCitiesTargets:2021
BR SME,CDPCitiesTargets:2021:BR SME:2016,2016,4790365,CDPCitiesTargets:2021
