emissions_id,sector_id,emissions_value
climate_trace:AW:2015,climate_trace:sector:buildings,158287
climate_trace:AW:2016,climate_trace:sector:buildings,171403
climate_trace:AW:2017,climate_trace:sector:buildings,159745
climate_trace:AW:2018,climate_trace:sector:buildings,176507
climate_trace:AW:2019,climate_trace:sector:buildings,181176
climate_trace:AW:2020,climate_trace:sector:buildings,150172
climate_trace:AW:2021,climate_trace:sector:buildings,167140
climate_trace:AW:2015,climate_trace:sector:fluorinated-gases,0
climate_trace:AW:2016,climate_trace:sector:fluorinated-gases,0
climate_trace:AW:2017,climate_trace:sector:fluorinated-gases,0
climate_trace:AW:2018,climate_trace:sector:fluorinated-gases,0
climate_trace:AW:2019,climate_trace:sector:fluorinated-gases,0
climate_trace:AW:2020,climate_trace:sector:fluorinated-gases,0
climate_trace:AW:2021,climate_trace:sector:fluorinated-gases,0
climate_trace:AW:2015,climate_trace:sector:fossil-fuel-operations,1854
climate_trace:AW:2016,climate_trace:sector:fossil-fuel-operations,1755
climate_trace:AW:2017,climate_trace:sector:fossil-fuel-operations,1799
climate_trace:AW:2018,climate_trace:sector:fossil-fuel-operations,1823
climate_trace:AW:2019,climate_trace:sector:fossil-fuel-operations,1910
climate_trace:AW:2020,climate_trace:sector:fossil-fuel-operations,1994
climate_trace:AW:2021,climate_trace:sector:fossil-fuel-operations,1994
climate_trace:AW:2015,climate_trace:sector:manufacturing,124257
climate_trace:AW:2016,climate_trace:sector:manufacturing,110894
climate_trace:AW:2017,climate_trace:sector:manufacturing,101193
climate_trace:AW:2018,climate_trace:sector:manufacturing,110690
climate_trace:AW:2019,climate_trace:sector:manufacturing,114048
climate_trace:AW:2020,climate_trace:sector:manufacturing,95498
climate_trace:AW:2021,climate_trace:sector:manufacturing,105602
climate_trace:AW:2015,climate_trace:sector:waste,29253
climate_trace:AW:2016,climate_trace:sector:waste,29414
climate_trace:AW:2017,climate_trace:sector:waste,29608
climate_trace:AW:2018,climate_trace:sector:waste,29790
climate_trace:AW:2019,climate_trace:sector:waste,29894
climate_trace:AW:2020,climate_trace:sector:waste,29998
climate_trace:AW:2021,climate_trace:sector:waste,30085
climate_trace:AW:2015,climate_trace:sector:agriculture,0
climate_trace:AW:2016,climate_trace:sector:agriculture,0
climate_trace:AW:2017,climate_trace:sector:agriculture,0
climate_trace:AW:2018,climate_trace:sector:agriculture,0
climate_trace:AW:2019,climate_trace:sector:agriculture,0
climate_trace:AW:2020,climate_trace:sector:agriculture,0
climate_trace:AW:2021,climate_trace:sector:agriculture,0
climate_trace:AW:2015,climate_trace:sector:mineral-extraction,0
climate_trace:AW:2016,climate_trace:sector:mineral-extraction,0
climate_trace:AW:2017,climate_trace:sector:mineral-extraction,0
climate_trace:AW:2018,climate_trace:sector:mineral-extraction,0
climate_trace:AW:2019,climate_trace:sector:mineral-extraction,0
climate_trace:AW:2020,climate_trace:sector:mineral-extraction,0
climate_trace:AW:2021,climate_trace:sector:mineral-extraction,0
climate_trace:AW:2015,climate_trace:sector:power,877294
climate_trace:AW:2016,climate_trace:sector:power,867786
climate_trace:AW:2017,climate_trace:sector:power,664251
climate_trace:AW:2018,climate_trace:sector:power,681233
climate_trace:AW:2019,climate_trace:sector:power,689267
climate_trace:AW:2020,climate_trace:sector:power,700052
climate_trace:AW:2021,climate_trace:sector:power,593705
climate_trace:AW:2015,climate_trace:sector:transportation,754187
climate_trace:AW:2016,climate_trace:sector:transportation,736370
climate_trace:AW:2017,climate_trace:sector:transportation,733701
climate_trace:AW:2018,climate_trace:sector:transportation,752251
climate_trace:AW:2019,climate_trace:sector:transportation,775045
climate_trace:AW:2020,climate_trace:sector:transportation,536846
climate_trace:AW:2021,climate_trace:sector:transportation,703015
climate_trace:AF:2015,climate_trace:sector:buildings,564688
climate_trace:AF:2016,climate_trace:sector:buildings,470118
climate_trace:AF:2017,climate_trace:sector:buildings,454895
climate_trace:AF:2018,climate_trace:sector:buildings,447540
climate_trace:AF:2019,climate_trace:sector:buildings,395291
climate_trace:AF:2020,climate_trace:sector:buildings,403131
climate_trace:AF:2021,climate_trace:sector:buildings,411996
climate_trace:AF:2015,climate_trace:sector:fossil-fuel-operations,1417835
climate_trace:AF:2016,climate_trace:sector:fossil-fuel-operations,1629035
climate_trace:AF:2017,climate_trace:sector:fossil-fuel-operations,1697092
climate_trace:AF:2018,climate_trace:sector:fossil-fuel-operations,1827218
climate_trace:AF:2019,climate_trace:sector:fossil-fuel-operations,1768553
climate_trace:AF:2020,climate_trace:sector:fossil-fuel-operations,1878370
climate_trace:AF:2021,climate_trace:sector:fossil-fuel-operations,1923341
climate_trace:AF:2015,climate_trace:sector:manufacturing,2638634
climate_trace:AF:2016,climate_trace:sector:manufacturing,2670139
climate_trace:AF:2017,climate_trace:sector:manufacturing,3226315
climate_trace:AF:2018,climate_trace:sector:manufacturing,3554281
climate_trace:AF:2019,climate_trace:sector:manufacturing,3349647
climate_trace:AF:2020,climate_trace:sector:manufacturing,3370097
climate_trace:AF:2021,climate_trace:sector:manufacturing,3420117
climate_trace:AF:2015,climate_trace:sector:waste,5009954
climate_trace:AF:2016,climate_trace:sector:waste,5146232
climate_trace:AF:2017,climate_trace:sector:waste,5279955
climate_trace:AF:2018,climate_trace:sector:waste,5407126
climate_trace:AF:2019,climate_trace:sector:waste,5512960
climate_trace:AF:2020,climate_trace:sector:waste,5621365
climate_trace:AF:2021,climate_trace:sector:waste,5731328
climate_trace:AF:2015,climate_trace:sector:agriculture,15992559
climate_trace:AF:2016,climate_trace:sector:agriculture,15739670
climate_trace:AF:2017,climate_trace:sector:agriculture,15364146
climate_trace:AF:2018,climate_trace:sector:agriculture,15935915
climate_trace:AF:2019,climate_trace:sector:agriculture,16303803
climate_trace:AF:2020,climate_trace:sector:agriculture,16457471
climate_trace:AF:2021,climate_trace:sector:agriculture,16361556
climate_trace:AF:2015,climate_trace:sector:fluorinated-gases,396512
climate_trace:AF:2016,climate_trace:sector:fluorinated-gases,452375
climate_trace:AF:2017,climate_trace:sector:fluorinated-gases,507475
climate_trace:AF:2018,climate_trace:sector:fluorinated-gases,574910
climate_trace:AF:2019,climate_trace:sector:fluorinated-gases,634376
climate_trace:AF:2020,climate_trace:sector:fluorinated-gases,695043
climate_trace:AF:2021,climate_trace:sector:fluorinated-gases,761807
climate_trace:AF:2015,climate_trace:sector:mineral-extraction,736
climate_trace:AF:2016,climate_trace:sector:mineral-extraction,1430
climate_trace:AF:2017,climate_trace:sector:mineral-extraction,1029
climate_trace:AF:2018,climate_trace:sector:mineral-extraction,919
climate_trace:AF:2019,climate_trace:sector:mineral-extraction,1099
climate_trace:AF:2020,climate_trace:sector:mineral-extraction,1130
climate_trace:AF:2021,climate_trace:sector:mineral-extraction,1144
climate_trace:AF:2015,climate_trace:sector:power,2412461
climate_trace:AF:2016,climate_trace:sector:power,2391360
climate_trace:AF:2017,climate_trace:sector:power,2547231
climate_trace:AF:2018,climate_trace:sector:power,2726247
climate_trace:AF:2019,climate_trace:sector:power,2423149
climate_trace:AF:2020,climate_trace:sector:power,2509139
climate_trace:AF:2021,climate_trace:sector:power,2558809
climate_trace:AF:2015,climate_trace:sector:transportation,2627780
climate_trace:AF:2016,climate_trace:sector:transportation,1864634
climate_trace:AF:2017,climate_trace:sector:transportation,1734390
climate_trace:AF:2018,climate_trace:sector:transportation,2382107
climate_trace:AF:2019,climate_trace:sector:transportation,2001891
climate_trace:AF:2020,climate_trace:sector:transportation,1945146
climate_trace:AF:2021,climate_trace:sector:transportation,1993379
climate_trace:AO:2015,climate_trace:sector:fluorinated-gases,277645
climate_trace:AO:2016,climate_trace:sector:fluorinated-gases,315598
climate_trace:AO:2017,climate_trace:sector:fluorinated-gases,353034
climate_trace:AO:2018,climate_trace:sector:fluorinated-gases,398849
climate_trace:AO:2019,climate_trace:sector:fluorinated-gases,439250
climate_trace:AO:2020,climate_trace:sector:fluorinated-gases,480468
climate_trace:AO:2021,climate_trace:sector:fluorinated-gases,525828
climate_trace:AO:2015,climate_trace:sector:manufacturing,4808737
climate_trace:AO:2016,climate_trace:sector:manufacturing,4770376
climate_trace:AO:2017,climate_trace:sector:manufacturing,3088477
climate_trace:AO:2018,climate_trace:sector:manufacturing,3107046
climate_trace:AO:2019,climate_trace:sector:manufacturing,3316107
climate_trace:AO:2020,climate_trace:sector:manufacturing,3290131
climate_trace:AO:2021,climate_trace:sector:manufacturing,3498899
climate_trace:AO:2015,climate_trace:sector:mineral-extraction,5788
climate_trace:AO:2016,climate_trace:sector:mineral-extraction,6789
climate_trace:AO:2017,climate_trace:sector:mineral-extraction,6741
climate_trace:AO:2018,climate_trace:sector:mineral-extraction,6745
