"name","type","iso","locode"
"Embu","City","KEN",NA
"Moscow","City","RUS",NA
"Ekurhuleni","City","ZAF",NA
"Guaminí","City","ARG",NA
"Davao","City","PHL",NA
"Shinjuku","City","JPN",NA
"Hirosaki","City","JPN",NA
"Jesús María","City","PER",NA
"Tomari ","City","JPN",NA
"Ashland, OR","City","USA",NA
"Porvoo","City","FIN",NA
"Nagakute","City","JPN",NA
"Bani-Suhaila","City","PSE",NA
"Egedal","City","DNK",NA
"Cagayan de Oro","City","PHL",NA
"Tarakan","City","IDN",NA
"Washington D.C.","City","USA",NA
"Trenggalek Regency","City","IDN",NA
"Rauch","City","ARG",NA
"Columbia, MO","City","USA",NA
"Jesús María","City","PER",NA
"Porvoo","City","FIN",NA
"Nongsamrong","City","THA",NA
"Minamioguni","City","JPN",NA
"Park Forest, IL","City","USA",NA
"Selkirk, MB","City","CAN",NA
"Mid-America Regional","City","USA",NA
"Hsinchu","City","TWN",NA
"San Pedro Garza García","City","MEX",NA
"Neba ","City","JPN",NA
"Yala Municipality","City","THA",NA
"Trenggalek Regency","City","IDN",NA
"St. Louis, MO","City","USA",NA
"Broward County, FL","City","USA",NA
"Hara ","City","JPN",NA
"Ayase","City","JPN",NA
"Trenggalek Regency","City","IDN",NA
"Tateshina","City","JPN",NA
"Highland Park, IL","City","USA",NA
"La Antigua Guatemala","City","GTM",NA
"Richmond, VA","City","USA",NA
"Hallandale Beach, FL","City","USA",NA
"Oda","City","JPN",NA
"Minamiise","City","JPN",NA
"Byron Shire","City","AUS",NA
"Turku","City","FIN",NA
"Kirishima","City","JPN",NA
"San Pedro Tlaquepaque","City","MEX",NA
"Takayama","City","JPN",NA
"Tamana","City","JPN",NA
"Yaoundé 4","City","CMR",NA
"Ekurhuleni","City","ZAF",NA
"Kitahiroshima","City","JPN",NA
"Presidencia de Saltillo","City","MEX",NA
"Swale Borough","City","GBR",NA
"Minamiminowa","City","JPN",NA
"JICOSUR","City","MEX",NA
"Mezitli","City","TUR",NA
"Fukuyama","City","JPN",NA
"Kolkata","City","IND",NA
"Tampere","City","FIN",NA
"Penalolén","City","CHL",NA
"Tagum City","City","PHL",NA
"Minamisanriku","City","JPN",NA
"Rome","City","ITA",NA
"Katsushika","City","JPN",NA
"Ayase","City","JPN",NA
"Bend, OR","City","USA",NA
"Yaoundé 6","City","CMR",NA
"Jammerbugt","City","DNK",NA
"Alcaldía de Cúcuta","City","COL",NA
"Trenggalek Regency","City","IDN",NA
"Fukuyama","City","JPN",NA
"Conde (Paraíba)","City","BRA",NA
"La Unión","City","CRI",NA
"Tópaga","City","COL",NA
