actor_id,identifier,datasource_id,namespace
ECCC_G11209:6THEVG93PYJH84S4D167,ECCC_G11209:6THEVG93PYJH84S4D167,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10063:6THEVG93PYJH84S4D167,ECCC_G10063:6THEVG93PYJH84S4D167,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10065:549300F4XPHJ7NOSP309,ECCC_G10065:549300F4XPHJ7NOSP309,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10744:549300T15RIMIKZC5Q38,ECCC_G10744:549300T15RIMIKZC5Q38,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10465:549300F4XPHJ7NOSP309,ECCC_G10465:549300F4XPHJ7NOSP309,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10324:549300T15RIMIKZC5Q38,ECCC_G10324:549300T15RIMIKZC5Q38,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11166:549300T15RIMIKZC5Q38,ECCC_G11166:549300T15RIMIKZC5Q38,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11183:549300T15RIMIKZC5Q38,ECCC_G11183:549300T15RIMIKZC5Q38,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G12013:549300T15RIMIKZC5Q38,ECCC_G12013:549300T15RIMIKZC5Q38,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10775:549300T15RIMIKZC5Q38,ECCC_G10775:549300T15RIMIKZC5Q38,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10073:549300VU2OWM86LFP557,ECCC_G10073:549300VU2OWM86LFP557,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11902:549300Z9RSLCM1W45F39,ECCC_G11902:549300Z9RSLCM1W45F39,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10071:QQTTPMZD0WKQL0H5S472,ECCC_G10071:QQTTPMZD0WKQL0H5S472,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10075:254900TQNYYLYHQXGL14,ECCC_G10075:254900TQNYYLYHQXGL14,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10415:254900TQNYYLYHQXGL14,ECCC_G10415:254900TQNYYLYHQXGL14,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10472:254900TQNYYLYHQXGL14,ECCC_G10472:254900TQNYYLYHQXGL14,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10082:549300XC9E3MQMOFK383,ECCC_G10082:549300XC9E3MQMOFK383,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10230:549300XC9E3MQMOFK383,ECCC_G10230:549300XC9E3MQMOFK383,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10231:549300XC9E3MQMOFK383,ECCC_G10231:549300XC9E3MQMOFK383,ECCC_GHGRP:2022-04-14,LOCODE_LEI
