Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Argentina,MtCO2e,247.30,251.72,256.24,256.82,260.20,262.79,271.99,276.77,282.38,288.71,290.82,284.14,280.48,302.57,318.70,322.74,337.25,349.82,354.27,333.82,339.61,350.25,355.30,364.48,363.15,370.00,373.33,377.21,375.10,369.05
Poland,MtCO2e,420.33,419.16,408.20,408.77,403.63,403.42,418.15,407.78,378.84,368.34,354.69,352.13,345.73,357.27,361.51,362.93,377.30,377.84,371.63,356.87,375.31,371.39,364.42,358.62,345.45,348.61,359.42,372.36,370.61,353.14
Egypt,MtCO2e,134.06,139.64,142.39,147.89,144.17,153.79,161.56,170.42,176.16,186.07,185.77,199.35,204.77,209.93,223.17,244.43,255.40,270.76,280.23,287.56,289.95,297.75,308.46,305.40,311.17,317.38,325.47,338.43,344.82,351.77
Iraq,MtCO2e,120.28,62.92,88.87,116.23,132.29,130.52,129.07,162.64,153.73,143.56,160.81,169.07,155.42,129.41,150.62,145.79,146.44,142.99,161.61,172.69,188.67,202.03,228.19,241.80,241.98,253.93,276.85,292.61,303.53,320.82
Malaysia,MtCO2e,80.38,91.34,94.03,100.70,108.47,115.78,129.16,138.59,138.96,147.93,158.98,164.79,173.46,183.73,199.96,210.70,218.41,236.40,251.69,229.73,250.39,253.77,258.37,277.89,292.80,293.61,293.68,285.39,302.60,313.02
Nigeria,MtCO2e,219.39,235.36,250.04,246.80,241.79,246.08,262.05,254.38,235.90,225.84,235.93,243.07,227.45,246.71,247.20,251.28,239.56,230.34,236.32,222.73,247.55,258.10,261.67,275.38,285.16,279.34,289.54,293.79,299.62,308.18
Spain,MtCO2e,275.61,281.70,291.55,276.74,289.65,303.38,296.70,317.95,327.48,352.14,369.37,367.79,384.45,393.43,409.54,424.16,418.15,434.49,401.19,364.43,349.27,348.74,342.35,315.99,314.69,325.28,315.70,332.22,324.88,306.95
Algeria,MtCO2e,120.74,124.92,125.87,134.36,136.30,143.25,146.30,146.24,148.50,153.95,162.62,159.30,165.04,177.64,180.58,188.02,195.86,198.83,204.35,206.66,209.87,215.75,235.43,240.07,253.51,263.14,265.36,268.90,278.03,282.01
Kazakhstan,MtCO2e,296.72,304.78,306.83,271.04,250.00,221.28,195.50,172.15,172.86,157.96,156.87,155.93,182.36,192.70,209.05,222.80,241.83,253.60,300.19,271.20,290.57,305.45,303.25,317.53,268.83,250.22,259.51,279.96,278.54,274.67
Venezuela,MtCO2e,251.31,261.25,263.74,272.58,276.12,296.43,318.35,335.11,340.41,323.22,336.62,341.78,337.78,325.24,341.81,355.56,354.97,349.89,362.22,353.63,360.84,358.12,394.47,396.49,393.76,371.12,349.73,320.70,293.72,255.74
United Arab Emirates,MtCO2e,73.25,81.07,79.19,83.62,92.20,97.34,101.71,104.95,106.99,108.83,109.02,123.08,125.40,133.42,141.21,150.10,157.12,168.25,194.02,194.38,201.89,207.49,219.59,230.89,231.80,245.22,252.92,248.69,229.38,243.55
Philippines,MtCO2e,95.52,95.38,97.40,102.82,110.04,121.98,130.51,138.65,131.95,137.30,138.71,137.96,139.58,142.84,146.27,147.30,140.61,146.53,149.77,152.48,157.90,159.81,164.87,175.79,183.37,192.30,204.85,221.06,226.94,234.28
Ukraine,MtCO2e,824.83,782.50,692.87,609.39,519.56,495.96,435.39,411.37,383.37,376.87,365.96,366.97,371.57,396.46,370.50,357.35,364.58,373.76,362.71,307.54,327.54,343.29,335.94,331.26,297.02,247.55,259.41,233.34,244.84,233.26
