Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Guatemala,MtCO2e,11.30,11.66,12.86,13.50,13.70,14.73,14.55,15.09,16.83,17.33,18.65,19.34,20.52,20.77,21.21,22.55,22.58,24.05,22.85,24.22,24.32,24.92,25.62,26.73,27.93,30.79,32.34,31.77,33.76,35.10
Burkina Faso,MtCO2e,11.99,12.43,12.72,12.97,13.42,13.81,13.84,14.47,14.69,15.01,16.13,15.39,16.09,19.54,20.08,20.71,20.68,21.31,22.21,22.90,24.49,24.99,25.70,26.65,27.15,28.04,29.42,30.36,31.15,32.21
Zimbabwe,MtCO2e,32.09,32.38,33.21,29.65,29.38,29.20,31.10,30.04,31.27,33.77,31.16,31.71,28.92,26.45,26.51,27.16,26.15,26.57,24.60,25.66,28.32,30.69,30.72,30.61,28.90,30.70,28.53,28.30,30.83,30.53
Madagascar,MtCO2e,25.63,25.65,25.91,26.30,26.06,26.51,26.54,26.43,27.37,27.02,26.45,25.31,23.04,25.49,24.28,27.94,26.83,28.42,27.36,28.05,28.25,28.10,29.39,28.03,28.27,28.34,29.56,28.66,28.95,29.58
Laos,MtCO2e,6.79,6.71,7.01,7.03,7.40,7.44,7.50,7.75,7.31,7.19,7.96,8.30,8.60,8.83,9.28,9.23,9.62,10.17,10.60,11.44,12.38,12.12,13.10,14.05,14.40,19.26,26.55,29.81,29.90,29.28
Senegal,MtCO2e,12.68,12.98,13.42,13.67,13.99,14.27,15.03,15.23,15.48,16.70,17.76,17.54,17.00,16.30,18.39,19.07,19.45,19.59,20.53,21.03,22.10,23.09,22.61,23.80,24.38,25.30,27.41,27.58,27.97,29.23
Afghanistan,MtCO2e,11.97,12.20,11.42,11.50,11.54,11.97,13.00,13.97,14.79,15.67,13.89,12.25,14.89,15.53,15.31,16.23,16.74,17.14,20.54,22.63,27.12,29.41,28.80,27.02,26.76,27.09,26.89,26.53,27.69,28.64
Trinidad and Tobago,MtCO2e,20.09,20.01,19.94,15.79,12.38,11.99,13.06,13.53,13.95,14.38,15.19,16.94,18.60,22.39,23.44,25.51,29.05,29.81,29.48,28.67,31.45,32.46,32.02,33.00,33.03,32.12,28.52,28.74,28.69,28.34
Guinea,MtCO2e,8.41,8.73,9.05,9.41,9.83,10.24,9.70,10.01,11.02,10.79,11.47,12.39,13.53,13.67,13.71,15.15,15.45,15.85,16.43,16.94,19.23,20.52,21.77,21.84,22.36,22.85,25.74,26.30,26.62,28.33
Bosnia and Herzegovina,MtCO2e,30.26,27.54,20.21,16.79,6.37,6.28,7.32,12.22,14.99,14.99,18.65,18.36,18.51,19.02,20.10,20.80,22.69,23.85,25.77,26.04,26.06,29.18,27.39,27.18,24.67,24.89,27.47,27.73,27.75,26.23
Yemen,MtCO2e,17.80,19.55,20.11,21.45,26.31,27.48,28.13,29.90,31.16,33.89,36.86,38.15,38.23,41.80,42.24,44.57,45.86,46.60,46.36,49.56,52.17,48.94,44.50,54.09,52.32,29.46,23.90,23.84,23.86,25.26
Somalia,MtCO2e,24.54,21.65,19.71,21.68,23.63,24.29,24.73,25.12,24.96,25.03,25.20,25.74,26.14,26.37,26.67,27.11,25.84,24.73,24.76,24.79,24.99,25.15,25.45,25.57,25.71,25.77,25.66,25.49,25.45,25.15
Côte d'Ivoire,MtCO2e,9.30,12.02,14.64,17.33,20.16,20.86,21.65,23.16,23.53,25.72,25.87,25.63,26.04,23.33,21.71,22.98,21.91,21.28,20.96,19.53,19.21,18.88,20.49,21.98,21.88,22.65,23.97,24.35,24.09,24.86
Papua New Guinea,MtCO2e,7.99,8.99,10.04,11.10,11.98,13.31,13.12,13.30,13.24,13.15,13.31,13.82,14.08,14.39,15.31,14.80,14.76,14.86,14.56,14.88,14.90,15.88,16.59,17.83,19.51,21.20,22.15,22.25,22.51,22.41
Honduras,MtCO2e,11.33,11.44,11.75,11.55,12.24,13.01,12.61,12.63,12.88,12.18,12.54,13.42,13.82,15.64,16.46,16.40,17.38,18.09,18.12,18.05,18.30,19.42,19.89,20.41,20.68,21.23,21.15,20.93,22.16,22.39
Croatia,MtCO2e,28.57,22.24,23.24,24.08,24.16,25.47,24.64,26.23,26.59,26.18,25.21,26.03,27.08,28.18,27.91,27.85,28.58,30.08,29.26,26.71,26.15,25.87,23.89,22.80,22.00,22.61,22.67,23.32,22.21,22.26
Panama,MtCO2e,7.84,8.33,9.01,9.26,9.55,9.76,9.75,9.69,10.76,9.91,9.99,11.38,10.65,10.84,10.92,12.59,13.12,13.13,13.23,14.82,15.46,16.56,17.26,17.24,17.67,17.65,17.86,17.34,17.50,20.88
Central African Republic,MtCO2e,16.87,17.18,17.23,17.27,19.77,19.90,21.91,22.09,24.13,21.80,24.76,20.94,18.69,23.80,21.19,22.23,22.37,22.74,23.88,19.34,21.50,22.80,19.92,21.10,20.65,21.01,22.86,21.35,21.91,19.73
Republic of Congo,MtCO2e,9.66,9.65,9.83,9.28,8.24,9.16,9.19,9.79,11.25,11.68,12.05,11.77,9.55,10.94,11.68,13.76,15.18,13.09,13.53,14.51,16.24,16.08,15.46,15.15,14.56,15.25,14.97,15.42,18.02,19.20
Lithuania,MtCO2e,45.07,46.86,32.09,26.19,24.16,22.58,23.38,23.17,24.07,21.34,19.64,20.09,20.45,20.63,21.61,22.75,22.88,23.89,23.33,19.76,20.56,20.03,19.95,19.06,18.61,18.87,18.90,18.82,18.91,18.93
Nicaragua,MtCO2e,9.52,8.15,9.06,9.72,10.03,9.41,9.43,10.17,10.59,11.72,12.25,12.45,12.91,13.91,13.53,13.84,14.15,14.34,14.21,14.27,14.62,15.76,16.15,16.35,17.28,18.25,18.42,18.27,18.27,18.80
Georgia,MtCO2e,49.76,40.31,32.65,27.12,19.96,16.90,15.38,14.57,14.08,13.83,14.25,11.79,11.23,11.76,11.83,12.38,12.74,13.51,12.61,13.37,13.06,14.45,15.34,16.22,16.83,17.15,17.58,17.46,17.14,17.60
Tajikistan,MtCO2e,17.87,16.97,13.95,11.09,8.58,7.96,7.31,7.55,7.47,6.98,6.62,6.64,6.67,6.82,7.37,7.44,7.93,8.65,9.02,8.70,8.79,9.06,9.86,10.28,11.82,12.42,13.85,15.26,16.62,17.51
Kyrgyzstan,MtCO2e,32.48,30.19,22.59,17.78,12.61,9.92,10.83,10.69,10.93,9.54,9.49,8.88,9.85,10.49,10.63,10.32,10.40,11.65,12.81,12.42,12.05,13.46,16.06,15.56,16.13,16.61,16.19,15.98,18.06,16.91
Slovenia,MtCO2e,17.30,16.30,16.01,16.75,16.80,17.63,18.43,18.90,18.64,17.94,17.75,18.71,18.79,18.75,18.96,19.22,19.55,19.52,20.49,18.51,18.81,18.75,18.14,17.51,16.01,16.10,16.92,17.10,16.97,16.46
Costa Rica,MtCO2e,8.52,8.81,9.95,10.04,10.45,10.04,10.03,10.06,10.76,10.58,10.44,10.75,10.78,11.13,11.16,11.70,12.03,13.40,13.58,13.14,13.25,13.96,13.91,14.41,14.46,14.32,15.23,15.48,15.76,15.75
Benin,MtCO2e,4.18,4.29,4.37,4.42,4.68,4.48,5.83,6.30,6.53,6.54,7.03,6.50,7.53,7.50,7.59,8.62,8.91,9.65,9.40,10.03,10.48,10.55,10.53,11.16,11.70,12.12,13.82,13.97,15.09,15.02
Mauritania,MtCO2e,6.77,7.00,6.85,7.06,6.95,7.08,7.61,7.91,8.29,8.80,9.19,9.38,9.52,9.59,9.67,9.66,10.34,10.45,9.59,10.57,11.02,11.09,11.63,11.70,12.20,13.13,13.19,13.38,13.79,14.29
Moldova,MtCO2e,38.17,32.12,27.10,23.67,20.58,18.54,16.76,15.08,13.62,12.26,11.41,11.64,11.77,12.38,12.37,12.68,12.33,12.56,12.43,11.75,12.66,12.82,12.56,11.69,12.31,12.55,12.76,12.75,13.28,13.39
Gabon,MtCO2e,10.23,11.25,11.22,11.55,12.31,13.49,14.43,14.26,15.35,14.34,13.88,13.98,13.37,14.55,14.13,13.87,12.66,11.99,12.68,12.38,13.26,13.25,12.88,13.10,13.45,13.90,14.30,12.86,12.39,13.17
Estonia,MtCO2e,39.52,35.64,27.72,21.87,20.93,19.25,20.10,19.63,19.07,18.08,17.68,18.12,17.68,19.67,19.81,19.95,18.72,22.77,21.20,17.76,21.78,20.91,19.66,22.10,20.75,18.36,18.69,19.44,18.03,12.87
El Salvador,MtCO2e,6.86,7.64,8.02,8.50,9.11,9.38,9.32,10.19,10.30,10.51,10.12,10.76,11.00,11.57,11.92,12.31,12.80,13.37,12.81,12.44,12.19,12.10,12.25,11.48,11.78,12.22,12.25,11.48,11.83,12.82
Latvia,MtCO2e,25.42,23.70,20.98,17.81,14.84,13.09,13.08,12.50,12.06,11.35,10.57,11.11,11.15,11.27,11.36,11.52,12.06,12.48,12.14,11.36,12.49,11.85,11.65,11.57,11.52,11.57,11.40,11.34,11.88,11.70
Equatorial Guinea,MtCO2e,0.17,0.32,2.07,2.25,2.41,2.59,2.93,4.46,5.65,7.30,6.86,9.36,10.15,11.42,13.65,16.10,17.09,16.18,17.11,16.16,16.55,15.91,15.64,14.72,16.29,14.27,13.85,12.42,12.96,11.41
Macedonia,MtCO2e,13.90,13.23,12.65,12.66,12.19,11.81,13.36,12.21,12.94,12.04,11.71,11.76,11.15,11.99,11.77,12.13,12.14,12.63,12.42,11.72,11.57,12.49,11.96,11.07,10.67,10.42,10.36,10.88,10.36,11.25
Botswana,MtCO2e,13.04,12.45,12.69,12.35,12.58,13.48,14.62,14.21,13.85,13.89,13.70,15.58,15.92,8.79,9.38,10.79,12.61,10.86,19.59,10.51,20.95,25.81,13.10,14.05,12.77,12.19,11.10,14.89,12.68,11.00
Malawi,MtCO2e,3.18,3.37,3.37,3.50,3.11,3.33,3.48,3.54,3.73,3.77,3.88,3.70,4.05,4.31,4.35,4.46,4.74,5.15,5.72,5.79,6.35,6.62,6.88,7.20,7.67,8.12,8.42,9.00,10.39,10.95
Namibia,MtCO2e,false,9.24,9.19,9.16,9.36,9.47,9.36,9.20,9.87,9.87,10.65,10.75,9.35,10.01,10.50,11.09,12.43,11.80,10.34,13.26,12.67,17.65,19.19,12.37,11.62,11.72,12.30,12.48,11.61,10.66
Haiti,MtCO2e,5.33,5.54,5.95,5.58,5.07,5.85,6.15,6.55,6.70,6.84,7.32,7.51,7.80,7.84,7.72,7.82,7.88,8.31,8.33,8.39,8.94,9.25,9.01,9.31,9.73,10.09,10.37,10.39,10.40,10.50
Luxembourg,MtCO2e,12.19,12.68,12.38,12.59,11.74,9.60,9.68,9.18,8.51,8.90,9.44,10.01,10.79,11.21,12.66,12.90,12.70,12.11,12.03,11.44,12.04,11.90,11.67,11.14,10.64,10.12,9.85,10.00,10.31,10.48
Jamaica,MtCO2e,9.01,9.01,9.81,10.01,10.05,10.39,10.72,10.86,11.41,11.69,11.80,11.82,11.99,12.42,12.33,12.29,13.50,13.41,11.01,9.26,8.87,8.96,8.43,8.89,8.70,8.59,9.09,8.74,10.16,9.97
Armenia,MtCO2e,24.41,25.01,14.82,8.58,6.03,6.64,5.57,6.19,6.12,5.62,5.99,6.10,5.77,6.20,6.59,7.32,7.72,8.37,8.89,7.74,7.56,8.20,9.20,9.14,9.13,9.16,9.41,9.25,9.44,9.96
Brunei,MtCO2e,4.67,4.89,5.17,5.59,5.89,6.27,6.47,6.90,6.13,6.21,6.61,6.55,6.56,7.58,7.18,7.02,9.77,9.29,10.15,9.92,9.24,9.48,9.45,9.24,9.13,8.39,9.03,9.50,9.81,9.30
Albania,MtCO2e,11.10,8.76,6.75,6.72,7.54,7.37,7.09,6.35,6.60,7.82,8.14,8.11,8.75,9.09,9.16,8.95,8.85,8.86,8.60,8.64,8.90,9.33,8.88,8.93,9.36,9.22,9.09,9.66,9.45,9.01
Cyprus,MtCO2e,5.44,5.97,6.39,6.67,6.92,6.81,7.20,7.28,7.61,7.89,8.15,8.07,8.30,8.97,8.91,9.02,9.16,9.49,9.71,9.54,9.21,8.96,8.44,7.74,8.14,8.21,8.60,8.74,8.56,8.54
Togo,MtCO2e,3.56,3.40,3.09,2.97,3.24,3.20,3.73,3.46,4.31,4.62,4.39,4.11,4.55,5.16,4.89,5.76,5.20,4.90,5.24,6.73,6.56,7.05,6.60,6.49,6.23,6.98,7.39,7.26,7.61,7.89
Mauritius,MtCO2e,2.30,2.40,2.49,2.65,2.72,2.78,2.96,3.06,3.34,3.87,4.31,4.42,4.43,4.62,4.65,4.84,5.27,5.41,5.52,5.51,5.79,5.84,5.99,6.12,6.33,6.38,6.53,6.73,6.74,6.85
Eritrea,MtCO2e,3.69,3.70,4.42,3.99,4.18,4.30,4.84,5.34,5.29,5.45,5.55,5.28,5.22,5.37,5.38,5.40,5.16,5.49,5.43,5.48,5.39,5.68,5.77,5.84,5.89,5.93,6.02,6.09,6.28,6.33
Sierra Leone,MtCO2e,3.58,3.57,3.57,3.66,3.64,3.43,2.70,2.62,2.57,2.37,2.44,3.11,3.49,4.33,4.73,4.74,6.13,5.46,4.72,5.05,4.80,5.42,6.53,6.49,6.97,6.78,6.89,6.73,6.34,6.08
Timor-Leste,MtCO2e,0.45,0.52,0.52,0.55,0.63,0.65,0.67,0.67,0.70,0.59,0.66,1.72,2.76,3.63,4.41,5.40,5.75,6.04,6.41,6.73,7.04,6.93,6.91,6.89,6.85,6.80,6.64,6.34,6.09,5.91
Guyana,MtCO2e,2.61,2.78,2.78,2.91,3.22,3.61,3.68,3.90,3.83,3.95,3.63,3.68,3.57,3.78,3.82,3.45,3.27,3.58,3.74,3.76,3.99,4.08,4.34,4.51,4.72,4.85,4.87,4.98,5.18,5.68
Rwanda,MtCO2e,2.29,2.29,2.24,2.17,2.04,1.81,1.96,2.08,2.22,2.43,2.47,2.63,2.72,2.94,3.08,3.19,3.45,3.66,3.84,3.95,4.19,4.10,4.23,4.37,4.40,5.05,5.05,5.13,5.26,5.34
Burundi,MtCO2e,1.80,1.87,1.86,1.84,1.74,1.80,1.80,1.85,1.88,1.93,1.99,1.96,1.95,1.94,2.00,2.06,2.20,2.28,2.40,2.55,2.88,3.12,3.20,3.60,3.59,3.62,4.00,4.62,4.87,4.56
Suriname,MtCO2e,2.86,3.22,3.32,3.27,3.31,3.36,3.40,3.37,3.37,3.41,2.72,2.80,2.26,2.45,2.66,2.85,2.80,2.69,2.88,3.01,3.35,3.61,4.09,3.93,4.35,4.45,4.72,4.26,3.91,4.46
Montenegro,MtCO2e,4.48,3.91,3.91,3.74,3.71,3.85,4.10,4.24,4.33,3.76,4.01,4.17,4.27,4.40,4.41,4.21,4.26,4.05,4.49,3.41,4.13,3.99,3.75,3.61,3.51,3.61,3.40,3.52,3.74,3.83
Barbados,MtCO2e,3.11,3.14,3.38,3.23,3.30,3.36,3.37,3.48,3.59,3.64,3.59,3.66,3.71,3.72,3.71,3.76,3.81,3.84,4.15,7.00,3.95,4.17,4.55,3.89,3.73,3.74,3.78,3.69,3.76,3.79
Bahamas,MtCO2e,2.14,2.21,2.74,2.27,2.24,2.39,2.26,2.06,2.56,2.53,2.43,2.43,2.62,2.60,2.50,2.35,2.35,2.37,2.48,6.44,2.36,2.87,3.84,3.12,2.82,2.52,2.36,2.50,3.12,3.16
Iceland,MtCO2e,3.34,3.22,3.02,2.98,3.07,2.99,3.25,3.22,3.37,3.34,3.38,3.26,3.32,3.29,3.36,3.31,3.79,3.79,3.68,3.35,3.23,3.04,3.03,3.20,3.26,3.31,2.84,2.89,2.91,2.85
Eswatini,MtCO2e,2.16,2.21,2.28,2.10,2.16,2.21,2.08,2.24,2.28,2.33,2.37,2.19,2.25,2.35,2.37,2.43,2.32,2.38,2.31,2.32,2.33,2.34,2.39,2.47,2.48,2.46,2.54,2.63,2.68,2.79
Maldives,MtCO2e,0.20,0.21,0.28,0.26,0.26,0.32,0.35,0.41,0.39,0.51,0.55,0.58,0.71,0.63,0.85,0.83,1.00,1.00,1.01,1.07,1.12,1.20,1.36,1.37,1.63,1.66,2.10,2.25,2.54,2.60
Guinea-Bissau,MtCO2e,1.42,1.42,1.46,1.49,1.52,1.55,1.47,1.46,1.44,1.57,1.54,1.82,1.87,1.92,1.84,1.78,1.95,1.98,1.89,2.02,2.11,2.11,2.29,2.25,2.25,2.38,2.39,2.44,2.54,2.58
Lesotho,MtCO2e,1.94,1.94,2.10,2.07,2.03,1.97,1.94,1.91,1.83,2.36,2.29,2.27,2.09,2.15,2.09,2.26,2.20,2.27,2.21,2.30,2.31,2.38,2.44,2.32,2.30,2.34,2.36,2.52,2.53,2.53
Grenada,MtCO2e,1.84,1.86,1.92,1.91,1.93,1.96,1.99,2.02,2.06,2.07,2.07,2.10,2.13,2.15,2.14,2.16,2.19,2.21,2.24,2.76,2.26,2.29,2.40,2.32,2.26,2.29,2.31,2.33,2.37,2.39
Fiji,MtCO2e,1.71,1.72,1.76,1.82,1.87,1.94,1.98,1.96,1.92,1.91,1.95,2.21,2.04,2.15,2.62,2.43,2.51,2.41,2.13,2.11,2.30,2.26,2.18,2.30,1.88,2.00,2.14,2.33,2.30,2.38
Gambia,MtCO2e,4.29,4.44,4.55,4.67,4.21,3.73,3.46,3.12,2.88,2.55,2.29,2.07,1.85,1.75,1.66,1.53,1.62,1.67,1.81,2.17,2.21,1.90,1.98,2.05,2.19,2.35,2.24,2.27,2.13,2.34
Liberia,MtCO2e,0.85,0.74,0.77,0.76,0.75,0.76,0.77,0.82,0.89,0.80,0.84,0.87,0.86,0.92,1.00,1.11,1.18,1.18,1.11,1.37,1.40,1.56,1.69,1.66,2.05,2.24,2.31,2.19,2.07,2.22
Malta,MtCO2e,2.53,2.43,2.41,3.06,2.76,2.63,2.58,2.73,2.64,2.68,2.41,2.78,2.62,2.92,2.93,2.98,3.06,3.15,3.09,2.90,3.01,2.99,3.17,2.84,2.86,2.18,1.88,2.03,2.04,2.14
Bhutan,MtCO2e,0.76,0.81,0.77,0.77,0.78,0.87,0.88,0.88,0.88,0.91,0.88,0.85,0.86,0.88,0.92,1.03,1.02,1.03,0.92,0.99,1.07,1.26,1.31,1.34,1.34,1.39,1.56,1.61,1.68,1.68
Belize,MtCO2e,6.54,6.76,6.98,7.04,7.15,6.06,4.89,3.94,2.88,1.79,0.75,0.86,0.94,1.01,0.82,0.88,0.97,1.07,1.08,2.13,1.27,1.43,1.40,1.29,1.28,1.48,1.49,1.49,1.48,1.55
Djibouti,MtCO2e,0.91,0.93,0.95,0.97,0.98,1.05,1.07,1.12,1.20,1.23,1.22,1.23,1.26,1.28,1.27,1.31,1.31,1.35,1.36,1.36,1.41,1.38,1.41,1.48,1.33,1.40,1.36,1.36,1.36,1.38
Antigua and Barbuda,MtCO2e,0.35,0.37,0.45,0.42,0.43,0.45,0.48,0.51,0.56,0.58,0.60,0.64,0.70,0.74,0.75,0.78,0.85,0.91,0.96,1.92,1.03,1.09,1.26,1.05,1.06,1.09,1.12,1.15,1.19,1.22
Solomon Islands,MtCO2e,0.38,0.40,0.41,0.43,0.45,0.46,0.48,0.49,0.50,0.52,0.54,0.55,0.57,0.59,0.64,0.68,0.69,0.70,0.70,0.72,0.74,0.76,0.78,0.83,0.80,0.79,0.86,0.89,0.92,0.94
Saint Lucia,MtCO2e,0.90,0.93,1.04,1.05,1.10,1.05,0.98,0.91,0.82,0.74,0.64,0.68,0.69,0.70,0.71,0.71,0.75,0.76,0.78,1.65,0.83,0.89,1.06,0.82,0.83,0.83,0.84,0.87,0.87,0.88
Vanuatu,MtCO2e,0.48,0.50,0.52,0.54,0.55,0.56,0.58,0.58,0.58,0.59,0.57,0.55,0.55,0.57,0.56,0.57,0.58,0.70,0.70,0.69,0.71,0.73,0.73,0.73,0.79,0.77,0.82,0.81,0.86,0.87
Cape Verde,MtCO2e,0.23,0.24,0.27,0.28,0.26,0.30,0.28,0.29,0.32,0.35,0.37,0.41,0.44,0.47,0.51,0.61,0.68,0.63,0.65,0.70,0.74,0.73,0.69,0.67,0.67,0.68,0.72,0.75,0.77,0.81
Seychelles,MtCO2e,0.22,0.24,0.24,0.26,0.28,0.28,0.31,0.36,0.38,0.40,0.38,0.41,0.44,0.44,0.48,0.48,0.49,0.51,0.52,0.56,0.56,0.53,0.55,0.54,0.60,0.65,0.72,0.73,0.74,0.78
Samoa,MtCO2e,0.33,0.34,0.34,0.36,0.38,0.39,0.41,0.41,0.43,0.43,0.43,0.46,0.47,0.47,0.50,0.52,0.51,0.50,0.47,0.49,0.51,0.53,0.53,0.54,0.56,0.61,0.67,0.68,0.68,0.68
Comoros,MtCO2e,0.26,0.26,0.27,0.27,0.28,0.28,0.29,0.30,0.31,0.32,0.30,0.32,0.33,0.35,0.36,0.36,0.40,0.32,0.35,0.38,0.42,0.42,0.44,0.47,0.46,0.48,0.52,0.59,0.62,0.64
Andorra,MtCO2e,0.43,0.43,0.43,0.44,0.44,0.46,0.49,0.51,0.54,0.57,0.59,0.59,0.60,0.61,0.64,0.66,0.64,0.64,0.64,0.62,0.63,0.60,0.60,0.59,0.57,0.58,0.59,0.59,0.62,0.63
Saint Kitts and Nevis,MtCO2e,0.18,0.19,0.23,0.21,0.23,0.23,0.24,0.25,0.27,0.27,0.28,0.29,0.32,0.31,0.32,0.31,0.32,0.34,0.34,0.80,0.34,0.38,0.43,0.32,0.32,0.33,0.34,0.34,0.35,0.35
Saint Vincent and the Grenadines,MtCO2e,0.15,0.16,0.19,0.20,0.21,0.23,0.23,0.23,0.27,0.27,0.24,0.28,0.31,0.31,0.32,0.33,0.33,0.35,0.34,0.97,0.33,0.35,0.44,0.31,0.35,0.33,0.34,0.31,0.34,0.34
Tonga,MtCO2e,0.25,0.26,0.25,0.26,0.26,0.26,0.24,0.24,0.24,0.25,0.23,0.23,0.23,0.26,0.26,0.27,0.28,0.26,0.26,0.28,0.26,0.25,0.25,0.26,0.26,0.26,0.30,0.33,0.31,0.31
Palau,MtCO2e,0.01,0.01,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.23,0.23,0.24,0.23,0.25,0.28,0.27,0.26,0.23,0.22,0.23,0.23,0.24,0.25,0.24,0.23,0.28,0.29,0.28,0.29
Micronesia,MtCO2e,0.01,0.01,0.11,0.12,0.12,0.18,0.18,0.19,0.19,0.19,0.20,0.22,0.21,0.22,0.22,0.23,0.21,0.20,0.19,0.20,0.18,0.19,0.20,0.21,0.22,0.23,0.25,0.26,0.26,0.26
Dominica,MtCO2e,0.19,0.19,0.21,0.20,0.21,0.21,0.18,0.20,0.19,0.19,0.20,0.22,0.18,0.20,0.22,0.22,0.23,0.25,0.25,0.57,0.25,0.24,0.31,0.24,0.25,0.25,0.25,0.23,0.23,0.23
Marshall Islands,MtCO2e,0.03,0.03,0.11,0.11,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.14,0.15,0.15,0.16,0.17,0.17,0.18,0.17,0.17,0.18,0.18,0.18,0.18,0.19,0.19,0.22,0.23,0.23,0.23
Sao Tome and Principe,MtCO2e,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.09,0.10,0.10,0.10,0.10,0.11,0.12,0.13,0.13,0.15,0.15,0.15,0.16,0.16,0.17,0.17,0.18
Liechtenstein,MtCO2e,0.20,0.21,0.21,0.22,0.20,0.21,0.21,0.22,0.24,0.23,0.22,0.22,0.23,0.24,0.24,0.24,0.24,0.21,0.23,0.22,0.20,0.19,0.20,0.21,0.18,0.17,0.16,0.17,0.16,0.16
Kiribati,MtCO2e,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.07,0.09,0.10,0.08,0.09,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.10,0.12,0.12,0.12
Cook Islands,MtCO2e,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.10,0.10,0.10,0.10
Nauru,MtCO2e,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.10,0.10,0.09,0.09,0.08,0.07,0.07,0.08,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.07
Tuvalu,MtCO2e,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03
Niue,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Data source,CAIT
Data for,Location: World. Sectors/Subsectors: Total excluding LUCF. Gases: All GHG. Calculation: Total. Show data by Countries
